rno	ono	review	star	uno
363	478	환경도 생각하고 소독도 마음대로 할 수 있어 안심입니다.	5	9
364	480	옷 보풀 제거가 깔끔하게 잘 돼요. 새 옷 된 기분!	5	4
365	481	소음이 생각보다 커서 늦은 밤엔 못 쓰겠어요.	2	18
366	482	모기가 근처에 오자마자 바로 잡히네요. 성능 확실합니다.	5	15
367	484	손목까지 올라와서 물 안 들어가고 좋아요. 색깔도 예쁨!	5	22
368	486	맨발로 밟아도 감촉이 좋고 베란다가 카페처럼 변했어요.	5	27
369	487	조립하다가 손가락 끼였어요. 장갑 끼고 하세요.	3	48
370	489	한 장씩 쏙쏙 잘 뽑히고 위생적이라 행주 대신 잘 써요.	5	41
371	491	케이스가 튼튼해서 태그 잃어버릴 걱정 없네요.	5	8
372	494	아이들이 뒷좌석 발로 차도 시트가 안 더러워져서 좋아요.	5	15
373	495	설치하는 끈이 좀 짧아서 저희 차에는 겨우 맞네요.	3	14
374	496	애들 손 끼임 방지용으로 샀는데 푹신해서 안심됩니다.	5	15
375	498	샴푸랑 바디워시 다 올렸는데 안 떨어지고 잘 붙어있어요.	5	18
376	499	물때가 좀 잘 끼는 재질이라 자주 닦아줘야 해요.	3	38
377	501	노트북 발열을 확실히 잡아주네요. 팬 소음도 적어요.	5	50
378	502	생각보다 부피가 커서 휴대하기는 좀 힘들 것 같습니다.	4	19
379	503	바람 차단 확실하네요! 보일러 덜 돌아가는 게 느껴져요.	5	6
380	504	테이프 자국 남을까 봐 걱정되는데 성능은 최고입니다.	4	11
381	505	자동이라 산책할 때 너무 편해요. 줄 꼬임도 없네요.	5	25
382	506	버튼이 가끔 뻑뻑해서 줄이 안 감길 때가 있어요.	2	5
383	508	쓰레기를 꾹꾹 눌러 담을 수 있어서 봉투값 아낍니다.	5	34
384	510	2단이라 수납공간이 넉넉하고 물빠짐이 잘 돼서 위생적이에요.	5	7
385	512	스테인리스라 녹슬 걱정 없고 어디든 걸기 편해요.	5	48
386	514	야외 활동할 때 위생적이에요. 향기도 은은하니 좋네요.	5	10
387	515	거품이 아주 풍성하진 않지만 세정력은 괜찮은 듯.	4	3
388	516	잡지랑 책 꽂아두니 거실 분위기가 확 사네요. 예뻐요!	5	47
389	518	쿠션감이 장난 아니에요. 구름 위를 걷는 기분입니다.	5	39
390	519	바닥 미끄럼 방지가 좀 약해서 물기 있는 곳에선 조심해야 해요.	3	39
391	520	신발 모양을 딱 잡아줘서 구김 없이 보관하기 좋네요.	5	32
392	522	아이 눈높이에 맞춰 조절하니까 스스로 씻기 좋아해요.	5	27
393	524	종아리 알 푸는 데 최고예요. 매일 밤마다 하고 자요.	5	11
394	525	압박이 너무 세서 처음엔 아픈데 시원하긴 합니다.	4	34
395	526	조리할 때 팬 바닥에 안 깔아도 되니 너무 편해요.	5	23
396	528	자전거 타면서 커피 마실 수 있어서 너무 행복합니다.	5	21
397	529	컵 크기에 따라 안 들어가는 텀블러도 있네요.	3	19
398	531	가방에 달아두니 멀리서도 제 캐리어인 게 딱 보여요!	5	47
399	532	고무 끈이 생각보다 약해서 금방 끊어질까 봐 불안하네요.	3	45
400	533	싱크대 거름망 덕분에 음식물 처리가 10배는 편해졌어요.	5	42
401	534	망이 너무 촘촘해서 물이 좀 천천히 빠지는 게 단점입니다.	3	18
402	535	낮잠 잘 때 필수예요. 빛 하나도 안 들어오고 보드랍네요.	5	26
403	536	냉장고 소스병들이 정리가 안 됐는데 이거 하나로 해결!	5	36
404	537	의자 끌 때 소리가 안 나서 층간소음 걱정 덜었습니다.	5	28
405	538	자꾸 벗겨져서 테이프로 한 번 더 감았어요.	2	43
406	540	변기에 넣어두니 파란 물 나오면서 매번 청소되는 기분이에요.	5	23
407	541	베이킹할 때 시간 정확하게 잴 수 있어서 너무 좋아요.	5	25
408	542	소리가 생각보다 너무 커서 깜짝깜짝 놀라요.	3	8
409	543	과일 주스 갈아 마시기 너무 편하고 세척도 간편해요.	5	39
410	544	옷장에 넣어두니 문 열 때마다 향기가 나서 힐링 됩니다.	5	42
411	545	캠핑 가서 썼는데 습기 차단 잘 되고 크기도 넉넉해요.	5	42
412	546	독서할 때 목이 안 아파요. 나무 향도 은은하니 좋네요.	5	33
413	547	무거운 전공 서적을 올리기엔 지지대가 조금 약해요.	3	16
414	548	베란다 화초들이 겨울에도 안 얼고 잘 자라고 있어요!	5	27
415	549	성에 제거가 슥슥 잘 됩니다. 출근 시간 단축됐어요.	5	34
416	550	플라스틱 날이 날카로워서 유리 긁힐까 봐 살살 써야 해요.	3	43
417	552	액정 닦을 때 알코올 향이 좀 강하지만 진짜 깨끗해져요.	5	32
418	553	접이식이라 캠핑 짐 줄이기 좋고 방수도 완벽합니다.	5	29
419	554	산책 후 발만 쏙 넣어서 닦으니 욕실 안 가도 되고 꿀템!	5	44
420	555	강아지가 처음엔 무서워해서 적응 기간이 좀 필요해요.	3	47
421	556	오래된 식탁에 붙였는데 새 가구 산 기분이에요.	5	48
422	557	기포 안 생기게 붙이는 게 생각보다 고난도입니다.	2	17
423	558	아이패드랑 연결 잘 되고 가벼워서 카페 갈 때 꼭 챙겨요.	5	44
424	559	설거지할 때 그릇 놓는 소리가 안 나서 너무 조용하고 좋네요.	5	19
425	560	창문에 붙여주니 고양이가 하루 종일 밖 구경하며 좋아해요.	5	1
426	561	흡착판이 자꾸 떨어져서 뜨거운 물에 담갔다 붙이니 잘 붙네요.	4	29
427	563	해외여행 갈 때 지갑에 연결해두니 마음이 푹 놓여요.	5	8
428	564	스프링이 생각보다 뻑뻑해서 잘 안 늘어나네요.	3	32
429	565	공중화장실 갈 때 가방에 쏙 넣어 다니기 너무 좋아요. 위생적!	5	47
430	566	손가락에 끼우니까 폰 떨어뜨릴 일이 없어서 안심입니다.	5	29
431	567	오래 쓰다 보니 스트랩이 좀 늘어나는 느낌이에요.	3	35
432	568	티셔츠랑 바지를 깔끔하게 나눠서 정리할 수 있어 좋아요.	5	23
433	569	밤에 자전거 탈 때 바퀴에서 빛이 나니까 안전하고 예뻐요!	5	27
434	570	건전지 교체하기가 좀 번거로운 구조네요.	2	1
435	571	자석이 진짜 세요! 현관문에 마스크랑 차 키 걸어두기 딱입니다.	5	13
436	572	비 오는 날 운동화 젖는 게 제일 싫었는데 이거 물건이네요.	5	14
437	573	신고 벗기가 좀 힘들지만 방수 성능은 확실합니다.	4	34
438	574	휴대용이라 가방에 넣고 다니면서 옷 관리하기 편해요.	5	18
439	575	젖은 운동화 말릴 때 최고입니다. 냄새도 안 나고 금방 말라요.	5	11
440	576	작동할 때 뜨거운 바람 소리가 좀 신경 쓰이네요.	3	1
441	577	마늘 다지기가 이렇게 쉬울 줄이야! 손에서 냄새 안 나서 좋아요.	5	48
442	578	이불 빨래할 때 썼는데 집게 힘이 장난 아니에요. 안 날아갑니다.	5	16
443	579	넷플릭스 볼 때 화면이 커 보여서 눈이 덜 피로해요.	4	15
444	580	안경 자국이 확실히 덜 남아요. 코 부분이 편안합니다.	5	5
445	581	접착력이 좀 약한지 며칠 지나니 떨어지려 하네요.	2	6
446	582	주차할 때 개인 번호 안 남겨도 돼서 사생활 보호되고 좋아요.	5	8
447	583	현관문 밑으로 들어오는 찬바람이랑 먼지를 싹 막아주네요.	5	24
448	584	머리카락 다 걸러줘서 배수구 막힐 걱정 사라졌어요.	5	4
449	585	청소할 때마다 망 갈아주는 게 조금 귀찮긴 합니다.	3	40
450	586	독서실에서 노트북 할 때 자판이 잘 보여서 너무 편해요.	5	42
451	587	현관에 두니 인테리어 효과도 있고 열쇠 찾기 편해졌어요.	5	2
452	588	수술하고 나서 씌웠는데 애가 편안하게 잘 자네요.	5	15
453	589	사이즈가 생각보다 작아서 한 단계 큰 거 살 걸 그랬어요.	3	22
454	590	선반 없는 벽에 설치해서 수납공간 만들었어요. 튼튼합니다.	5	46
455	592	입구가 좁은 병에 액체 옮길 때 진짜 편해요. 접이식이라 보관도 굿!	5	8
456	593	실리콘이라 먼지가 좀 잘 붙긴 하네요. 씻어서 쓰면 괜찮아요.	3	32
457	595	컴퓨터 뒷부분 전선 정리 끝판왕입니다. 찍찍이가 아주 튼튼해요.	5	5
458	597	베이킹할 때 소량 계량하기 너무 좋아요. 디자인도 귀엽고요!	5	50
459	598	건전지가 금방 닳는 것 같은데 기분 탓인가요?	3	16
460	600	바닥에 휴지통 안 두니까 로봇청소기 돌릴 때 너무 편해요.	5	19
461	601	봉투 갈아 끼우는 게 생각보다 번거롭지만 깔끔해서 만족!	4	32
462	602	손목 부분이 푹신해서 장시간 작업해도 무리가 없네요.	5	21
463	604	운동화에서 나던 퀴퀴한 냄새가 싹 사라졌어요. 신기합니다!	5	21
464	605	향이 너무 강해서 신발장 전체에 냄새가 진동해요.	2	38
465	606	수압이 진짜 세졌어요! 샤워하는 맛이 납니다.	5	25
466	607	물줄기가 너무 가늘어서 살짝 따가운 느낌도 있어요.	3	8
467	608	작은데 파워가 장난 아니에요. 종아리 근육 다 풀립니다.	5	27
468	610	주방 위생을 위해서 샀는데 디자인도 깔끔하고 좋아요.	5	14
469	611	휴대용 펌프치고 공기가 아주 잘 들어가서 만족합니다.	5	43
470	612	손잡이 부분이 좀 작아서 펌핑할 때 힘이 많이 들어가네요.	3	21
471	613	캐리어 위에 가방 고정하니까 이동할 때 손이 너무 가벼워요!	5	28
472	614	싱크대 냄새 차단 확실합니다. 진작 살 걸 그랬어요.	5	36
473	615	사이즈가 살짝 안 맞아서 틈새로 물이 조금 고이네요.	2	41
474	616	차박할 때 썼는데 밖에서 하나도 안 보이고 아늑해요.	5	35
475	617	서랍 안이 난장판이었는데 칸막이 치니까 속이 다 시원합니다.	5	20
476	618	모서리가 날카로워서 걱정했는데 이거 붙이니 안심되네요.	5	46
477	619	애기가 자꾸 잡아당기니까 툭 떨어져 버리네요. 접착력이 아쉽.	2	7
478	621	음식물 쓰레기 물기 쫙 빠진 상태로 버릴 수 있어 좋아요.	5	11
479	622	자석이라 냉장고에 딱 붙여두고 필요할 때 바로 써요. 절삭력 굿!	5	22
480	623	불 없이 향기만 은은하게 퍼지니까 안전하고 무드 있어요.	5	16
481	624	옷장 열 때마다 숲속 향기가 나서 기분이 좋아집니다.	5	39
482	625	향이 한 달 정도 지나니까 거의 안 느껴져서 아쉬워요.	3	10
483	626	눈 올 때 신발 위에 신었는데 발 안 젖고 너무 좋았어요!	5	20
484	627	길이가 좀 짧아서 깊은 눈에는 눈이 위로 들어오네요.	3	13
