rno	dno	rating	text
300	764	3	포장이 꼼꼼하게 되어 있어서 안심됐습니다. 물건 상태도 매우 좋네요.
301	3781	5	새벽배송이라 그런지 정말 빠르게 도착했습니다. 신선식품 상태도 만족합니다.
302	4083	5	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
303	4169	5	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
304	3953	5	기사님 응대가 친절했고 문 앞까지 안전하게 배송해주셔서 좋았습니다.
305	3742	4	제품이 안전하게 도착했고 배송 알림도 잘 와서 편리했습니다.
306	1562	5	배송이 늦어 불편했지만 고객센터 응대는 괜찮았습니다.
307	1119	5	생각보다 배송 기간이 길었지만 제품 상태는 좋아서 만족합니다.
308	3400	4	배송이 늦어 불편했지만 고객센터 응대는 괜찮았습니다.
309	2189	5	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
310	2446	5	생각보다 배송 품질이 좋아 만족합니다. 다음에도 이용할 예정입니다.
311	4012	5	박스가 훼손되어 와서 조금 아쉬웠지만 제품에는 문제 없었습니다.
312	4413	4	배송 속도와 상품 상태 모두 만족스럽습니다. 재구매 의사 있습니다.
313	4522	5	제품이 안전하게 도착했고 배송 알림도 잘 와서 편리했습니다.
314	3731	5	배송 조회가 잘 되어 현재 위치를 확인하기 편했습니다. 전체적으로 만족합니다.
315	1957	4	기사님 응대가 친절했고 문 앞까지 안전하게 배송해주셔서 좋았습니다.
316	3366	1	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
317	3124	4	새벽배송이라 그런지 정말 빠르게 도착했습니다. 신선식품 상태도 만족합니다.
318	4058	5	새벽배송이라 그런지 정말 빠르게 도착했습니다. 신선식품 상태도 만족합니다.
319	4115	5	배송 속도와 상품 상태 모두 만족스럽습니다. 재구매 의사 있습니다.
320	823	5	박스가 훼손되어 와서 조금 아쉬웠지만 제품에는 문제 없었습니다.
321	817	4	박스가 훼손되어 와서 조금 아쉬웠지만 제품에는 문제 없었습니다.
322	126	5	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
323	1265	2	생각보다 배송 기간이 길었지만 제품 상태는 좋아서 만족합니다.
324	2774	5	제품이 안전하게 도착했고 배송 알림도 잘 와서 편리했습니다.
325	658	5	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
326	3114	5	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
327	4433	1	상품은 잘 도착했지만 배송이 하루 정도 늦어서 조금 아쉬웠습니다.
328	1924	5	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
329	1864	5	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
330	807	5	포장이 꼼꼼하게 되어 있어서 안심됐습니다. 물건 상태도 매우 좋네요.
331	3635	3	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
332	238	1	기사님이 친절하게 안내해주셨고 시간도 정확했습니다. 다음에도 이용할 생각입니다.
333	2404	4	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
334	1193	3	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
335	4637	5	배송 과정에서 박스가 조금 찌그러져 있었지만 내부 상품은 괜찮았습니다.
336	1393	3	상품이 흔들리지 않게 포장되어 있어 믿음이 갔습니다.
337	3134	5	기사님 응대가 친절했고 문 앞까지 안전하게 배송해주셔서 좋았습니다.
338	4077	5	새벽배송이라 그런지 정말 빠르게 도착했습니다. 신선식품 상태도 만족합니다.
339	1903	4	생각보다 배송 기간이 길었지만 제품 상태는 좋아서 만족합니다.
340	3765	3	배송이 예상보다 훨씬 빨라서 만족합니다. 포장 상태도 깔끔했고 제품 손상 없이 잘 도착했어요.
341	3812	5	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
342	1295	2	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
343	4814	3	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
344	2049	4	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
345	1632	5	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
346	874	3	생각보다 배송 품질이 좋아 만족합니다. 다음에도 이용할 예정입니다.
347	2941	4	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
348	180	5	제품이 안전하게 도착했고 배송 알림도 잘 와서 편리했습니다.
349	2249	1	기사님이 친절하게 안내해주셨고 시간도 정확했습니다. 다음에도 이용할 생각입니다.
350	4968	5	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
351	1886	5	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
352	1795	5	상품이 흔들리지 않게 포장되어 있어 믿음이 갔습니다.
353	2054	5	새벽배송이라 그런지 정말 빠르게 도착했습니다. 신선식품 상태도 만족합니다.
354	796	5	기사님이 친절하게 안내해주셨고 시간도 정확했습니다. 다음에도 이용할 생각입니다.
355	2531	5	기사님이 친절하게 안내해주셨고 시간도 정확했습니다. 다음에도 이용할 생각입니다.
356	4748	4	새벽배송이라 그런지 정말 빠르게 도착했습니다. 신선식품 상태도 만족합니다.
357	739	5	배송 속도와 상품 상태 모두 만족스럽습니다. 재구매 의사 있습니다.
358	3404	3	새벽배송이라 그런지 정말 빠르게 도착했습니다. 신선식품 상태도 만족합니다.
359	4419	5	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
360	4349	4	생각보다 배송 기간이 길었지만 제품 상태는 좋아서 만족합니다.
361	1348	3	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
362	2418	5	배송 속도와 상품 상태 모두 만족스럽습니다. 재구매 의사 있습니다.
363	944	4	상품은 잘 도착했지만 배송이 하루 정도 늦어서 조금 아쉬웠습니다.
364	1154	5	기사님 응대가 친절했고 문 앞까지 안전하게 배송해주셔서 좋았습니다.
365	3256	5	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
366	2997	2	제품이 안전하게 도착했고 배송 알림도 잘 와서 편리했습니다.
367	115	3	포장이 꼼꼼하게 되어 있어서 안심됐습니다. 물건 상태도 매우 좋네요.
368	3726	4	생각보다 배송 기간이 길었지만 제품 상태는 좋아서 만족합니다.
369	4789	4	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
370	888	5	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
371	206	5	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
372	2688	5	기사님 응대가 친절했고 문 앞까지 안전하게 배송해주셔서 좋았습니다.
373	518	5	박스가 훼손되어 와서 조금 아쉬웠지만 제품에는 문제 없었습니다.
374	2476	5	포장이 꼼꼼하게 되어 있어서 안심됐습니다. 물건 상태도 매우 좋네요.
375	1146	1	기사님이 친절하게 안내해주셨고 시간도 정확했습니다. 다음에도 이용할 생각입니다.
376	2494	5	포장이 꼼꼼하게 되어 있어서 안심됐습니다. 물건 상태도 매우 좋네요.
377	797	3	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
378	1112	4	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
379	4426	4	새벽배송이라 그런지 정말 빠르게 도착했습니다. 신선식품 상태도 만족합니다.
380	3399	5	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
381	3344	5	생각보다 배송 기간이 길었지만 제품 상태는 좋아서 만족합니다.
382	269	5	배송 조회가 잘 되어 현재 위치를 확인하기 편했습니다. 전체적으로 만족합니다.
383	3633	4	기사님 응대가 친절했고 문 앞까지 안전하게 배송해주셔서 좋았습니다.
384	2972	2	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
385	4461	5	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
386	497	4	배송 조회가 잘 되어 현재 위치를 확인하기 편했습니다. 전체적으로 만족합니다.
387	1001	5	박스가 훼손되어 와서 조금 아쉬웠지만 제품에는 문제 없었습니다.
388	751	5	상품이 흔들리지 않게 포장되어 있어 믿음이 갔습니다.
389	175	2	배송 속도와 상품 상태 모두 만족스럽습니다. 재구매 의사 있습니다.
390	1996	5	생각보다 배송 품질이 좋아 만족합니다. 다음에도 이용할 예정입니다.
391	1682	2	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
392	1698	4	기사님 응대가 친절했고 문 앞까지 안전하게 배송해주셔서 좋았습니다.
393	2692	5	상품이 흔들리지 않게 포장되어 있어 믿음이 갔습니다.
394	24	3	새벽배송이라 그런지 정말 빠르게 도착했습니다. 신선식품 상태도 만족합니다.
395	1065	4	배송 과정에서 박스가 조금 찌그러져 있었지만 내부 상품은 괜찮았습니다.
396	901	5	배송이 예상보다 훨씬 빨라서 만족합니다. 포장 상태도 깔끔했고 제품 손상 없이 잘 도착했어요.
397	1080	1	기사님 응대가 친절했고 문 앞까지 안전하게 배송해주셔서 좋았습니다.
398	4824	4	배송 과정에서 박스가 조금 찌그러져 있었지만 내부 상품은 괜찮았습니다.
399	2174	2	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
400	4310	2	상품은 잘 도착했지만 배송이 하루 정도 늦어서 조금 아쉬웠습니다.
401	3902	4	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
402	4205	4	박스가 훼손되어 와서 조금 아쉬웠지만 제품에는 문제 없었습니다.
403	4128	3	상품이 흔들리지 않게 포장되어 있어 믿음이 갔습니다.
404	356	5	배송이 늦어 불편했지만 고객센터 응대는 괜찮았습니다.
405	2471	4	배송이 예상보다 훨씬 빨라서 만족합니다. 포장 상태도 깔끔했고 제품 손상 없이 잘 도착했어요.
406	499	5	제품이 안전하게 도착했고 배송 알림도 잘 와서 편리했습니다.
407	3493	5	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
408	3634	2	상품은 잘 도착했지만 배송이 하루 정도 늦어서 조금 아쉬웠습니다.
409	2639	5	상품은 잘 도착했지만 배송이 하루 정도 늦어서 조금 아쉬웠습니다.
410	1034	3	생각보다 배송 품질이 좋아 만족합니다. 다음에도 이용할 예정입니다.
411	4493	5	제품이 안전하게 도착했고 배송 알림도 잘 와서 편리했습니다.
412	4894	4	박스가 훼손되어 와서 조금 아쉬웠지만 제품에는 문제 없었습니다.
413	4142	5	포장이 꼼꼼하게 되어 있어서 안심됐습니다. 물건 상태도 매우 좋네요.
414	938	5	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
415	1762	4	기사님 응대가 친절했고 문 앞까지 안전하게 배송해주셔서 좋았습니다.
416	3390	4	박스가 훼손되어 와서 조금 아쉬웠지만 제품에는 문제 없었습니다.
417	3267	4	포장이 꼼꼼하게 되어 있어서 안심됐습니다. 물건 상태도 매우 좋네요.
418	2561	4	생각보다 배송 기간이 길었지만 제품 상태는 좋아서 만족합니다.
419	3067	5	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
420	550	2	상품은 잘 도착했지만 배송이 하루 정도 늦어서 조금 아쉬웠습니다.
421	764	4	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
422	1066	4	생각보다 배송 품질이 좋아 만족합니다. 다음에도 이용할 예정입니다.
423	4601	4	포장이 꼼꼼하게 되어 있어서 안심됐습니다. 물건 상태도 매우 좋네요.
424	3366	4	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
425	422	5	상품이 흔들리지 않게 포장되어 있어 믿음이 갔습니다.
426	2560	4	생각보다 배송 품질이 좋아 만족합니다. 다음에도 이용할 예정입니다.
427	4157	3	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
428	1838	5	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
429	4557	4	생각보다 배송 기간이 길었지만 제품 상태는 좋아서 만족합니다.
430	4704	3	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
431	4596	5	상품이 흔들리지 않게 포장되어 있어 믿음이 갔습니다.
432	4561	1	생각보다 배송 기간이 길었지만 제품 상태는 좋아서 만족합니다.
433	238	3	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
434	2784	4	배송 과정에서 박스가 조금 찌그러져 있었지만 내부 상품은 괜찮았습니다.
435	1174	4	제품이 안전하게 도착했고 배송 알림도 잘 와서 편리했습니다.
436	571	3	배송이 예상보다 훨씬 빨라서 만족합니다. 포장 상태도 깔끔했고 제품 손상 없이 잘 도착했어요.
437	752	5	배송 조회가 잘 되어 현재 위치를 확인하기 편했습니다. 전체적으로 만족합니다.
438	3082	4	배송 속도와 상품 상태 모두 만족스럽습니다. 재구매 의사 있습니다.
439	1290	4	배송 속도와 상품 상태 모두 만족스럽습니다. 재구매 의사 있습니다.
440	4650	4	기사님이 친절하게 안내해주셨고 시간도 정확했습니다. 다음에도 이용할 생각입니다.
441	1275	3	상품이 흔들리지 않게 포장되어 있어 믿음이 갔습니다.
442	408	5	생각보다 배송 기간이 길었지만 제품 상태는 좋아서 만족합니다.
443	3630	5	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
444	4974	4	생각보다 배송 기간이 길었지만 제품 상태는 좋아서 만족합니다.
445	1766	5	포장이 꼼꼼하게 되어 있어서 안심됐습니다. 물건 상태도 매우 좋네요.
446	2828	4	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
447	4859	4	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
448	373	3	상품이 흔들리지 않게 포장되어 있어 믿음이 갔습니다.
449	449	1	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
450	1731	5	생각보다 배송 기간이 길었지만 제품 상태는 좋아서 만족합니다.
451	2372	4	배송이 예상보다 훨씬 빨라서 만족합니다. 포장 상태도 깔끔했고 제품 손상 없이 잘 도착했어요.
452	4075	5	배송 과정에서 박스가 조금 찌그러져 있었지만 내부 상품은 괜찮았습니다.
453	1059	4	기사님 응대가 친절했고 문 앞까지 안전하게 배송해주셔서 좋았습니다.
454	4099	4	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
455	591	4	기사님이 친절하게 안내해주셨고 시간도 정확했습니다. 다음에도 이용할 생각입니다.
456	3574	1	상품은 잘 도착했지만 배송이 하루 정도 늦어서 조금 아쉬웠습니다.
457	2565	4	생각보다 배송 품질이 좋아 만족합니다. 다음에도 이용할 예정입니다.
458	3314	5	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
459	2372	2	배송이 예상보다 훨씬 빨라서 만족합니다. 포장 상태도 깔끔했고 제품 손상 없이 잘 도착했어요.
460	2661	3	상품이 흔들리지 않게 포장되어 있어 믿음이 갔습니다.
461	3770	5	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
462	722	4	포장이 꼼꼼하게 되어 있어서 안심됐습니다. 물건 상태도 매우 좋네요.
463	1994	4	제품이 안전하게 도착했고 배송 알림도 잘 와서 편리했습니다.
464	4293	2	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
465	2782	3	배송 과정에서 박스가 조금 찌그러져 있었지만 내부 상품은 괜찮았습니다.
466	626	4	포장이 꼼꼼하게 되어 있어서 안심됐습니다. 물건 상태도 매우 좋네요.
467	4347	4	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
468	2877	5	새벽배송이라 그런지 정말 빠르게 도착했습니다. 신선식품 상태도 만족합니다.
469	1936	2	생각보다 배송 기간이 길었지만 제품 상태는 좋아서 만족합니다.
470	1617	3	새벽배송이라 그런지 정말 빠르게 도착했습니다. 신선식품 상태도 만족합니다.
471	618	3	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
472	3801	5	생각보다 배송 품질이 좋아 만족합니다. 다음에도 이용할 예정입니다.
473	3678	5	생각보다 배송 품질이 좋아 만족합니다. 다음에도 이용할 예정입니다.
474	2648	5	배송 속도와 상품 상태 모두 만족스럽습니다. 재구매 의사 있습니다.
475	1237	4	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
476	3623	5	생각보다 배송 기간이 길었지만 제품 상태는 좋아서 만족합니다.
477	4845	2	배송이 늦어 불편했지만 고객센터 응대는 괜찮았습니다.
478	608	4	박스가 훼손되어 와서 조금 아쉬웠지만 제품에는 문제 없었습니다.
479	309	2	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
480	629	5	상품은 잘 도착했지만 배송이 하루 정도 늦어서 조금 아쉬웠습니다.
481	4867	4	박스가 훼손되어 와서 조금 아쉬웠지만 제품에는 문제 없었습니다.
482	4755	4	기사님이 친절하게 안내해주셨고 시간도 정확했습니다. 다음에도 이용할 생각입니다.
483	3685	5	생각보다 배송 품질이 좋아 만족합니다. 다음에도 이용할 예정입니다.
484	1543	4	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
485	4108	3	기사님이 친절하게 안내해주셨고 시간도 정확했습니다. 다음에도 이용할 생각입니다.
486	3691	2	배송 속도와 상품 상태 모두 만족스럽습니다. 재구매 의사 있습니다.
487	691	4	배송 과정에서 박스가 조금 찌그러져 있었지만 내부 상품은 괜찮았습니다.
488	321	3	박스가 훼손되어 와서 조금 아쉬웠지만 제품에는 문제 없었습니다.
489	3600	4	상품이 흔들리지 않게 포장되어 있어 믿음이 갔습니다.
490	1301	4	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
491	3174	4	배송 속도와 상품 상태 모두 만족스럽습니다. 재구매 의사 있습니다.
492	4898	2	배송 속도와 상품 상태 모두 만족스럽습니다. 재구매 의사 있습니다.
493	540	4	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
494	3167	3	상품이 흔들리지 않게 포장되어 있어 믿음이 갔습니다.
495	1232	4	생각보다 배송 품질이 좋아 만족합니다. 다음에도 이용할 예정입니다.
496	1159	5	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
497	3211	2	상품은 잘 도착했지만 배송이 하루 정도 늦어서 조금 아쉬웠습니다.
498	2537	4	배송 속도와 상품 상태 모두 만족스럽습니다. 재구매 의사 있습니다.
499	1047	5	배송이 늦어 불편했지만 고객센터 응대는 괜찮았습니다.
500	766	5	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
501	4166	4	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
502	2531	3	배송 조회가 잘 되어 현재 위치를 확인하기 편했습니다. 전체적으로 만족합니다.
503	2800	5	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
504	1573	3	새벽배송이라 그런지 정말 빠르게 도착했습니다. 신선식품 상태도 만족합니다.
505	1270	2	포장이 꼼꼼하게 되어 있어서 안심됐습니다. 물건 상태도 매우 좋네요.
506	4159	5	배송이 늦어 불편했지만 고객센터 응대는 괜찮았습니다.
507	310	5	상품이 흔들리지 않게 포장되어 있어 믿음이 갔습니다.
508	1074	4	새벽배송이라 그런지 정말 빠르게 도착했습니다. 신선식품 상태도 만족합니다.
509	1330	3	상품이 흔들리지 않게 포장되어 있어 믿음이 갔습니다.
510	1357	5	기사님이 친절하게 안내해주셨고 시간도 정확했습니다. 다음에도 이용할 생각입니다.
511	3366	4	기사님 응대가 친절했고 문 앞까지 안전하게 배송해주셔서 좋았습니다.
512	3639	5	박스가 훼손되어 와서 조금 아쉬웠지만 제품에는 문제 없었습니다.
513	1917	4	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
514	3843	5	배송 조회가 잘 되어 현재 위치를 확인하기 편했습니다. 전체적으로 만족합니다.
515	3014	5	생각보다 배송 품질이 좋아 만족합니다. 다음에도 이용할 예정입니다.
516	3610	4	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
517	3129	4	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
518	1328	5	상품이 흔들리지 않게 포장되어 있어 믿음이 갔습니다.
519	1134	5	기사님이 친절하게 안내해주셨고 시간도 정확했습니다. 다음에도 이용할 생각입니다.
520	3937	5	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
521	841	5	배송이 늦어 불편했지만 고객센터 응대는 괜찮았습니다.
522	1022	3	배송 과정에서 박스가 조금 찌그러져 있었지만 내부 상품은 괜찮았습니다.
523	2235	4	배송이 늦어 불편했지만 고객센터 응대는 괜찮았습니다.
524	1208	5	상품은 잘 도착했지만 배송이 하루 정도 늦어서 조금 아쉬웠습니다.
525	1819	5	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
526	219	4	제품이 안전하게 도착했고 배송 알림도 잘 와서 편리했습니다.
527	4113	4	제품이 안전하게 도착했고 배송 알림도 잘 와서 편리했습니다.
528	669	4	배송이 예상보다 훨씬 빨라서 만족합니다. 포장 상태도 깔끔했고 제품 손상 없이 잘 도착했어요.
529	2611	5	배송 속도와 상품 상태 모두 만족스럽습니다. 재구매 의사 있습니다.
530	1197	3	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
531	3871	5	새벽배송이라 그런지 정말 빠르게 도착했습니다. 신선식품 상태도 만족합니다.
532	3843	4	배송이 예상보다 훨씬 빨라서 만족합니다. 포장 상태도 깔끔했고 제품 손상 없이 잘 도착했어요.
533	650	1	배송 조회가 잘 되어 현재 위치를 확인하기 편했습니다. 전체적으로 만족합니다.
534	1225	4	상품이 흔들리지 않게 포장되어 있어 믿음이 갔습니다.
535	4324	4	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
536	1947	4	기사님이 친절하게 안내해주셨고 시간도 정확했습니다. 다음에도 이용할 생각입니다.
537	1954	4	상품이 흔들리지 않게 포장되어 있어 믿음이 갔습니다.
538	3745	2	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
539	4889	4	배송이 늦어 불편했지만 고객센터 응대는 괜찮았습니다.
540	4711	3	새벽배송이라 그런지 정말 빠르게 도착했습니다. 신선식품 상태도 만족합니다.
541	2387	4	상품이 흔들리지 않게 포장되어 있어 믿음이 갔습니다.
542	2891	3	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
543	1535	5	상품은 잘 도착했지만 배송이 하루 정도 늦어서 조금 아쉬웠습니다.
544	4289	5	상품은 잘 도착했지만 배송이 하루 정도 늦어서 조금 아쉬웠습니다.
545	4310	4	배송이 늦어 불편했지만 고객센터 응대는 괜찮았습니다.
546	4540	1	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
547	357	5	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
548	2078	5	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
549	554	4	포장이 꼼꼼하게 되어 있어서 안심됐습니다. 물건 상태도 매우 좋네요.
550	4767	5	배송 속도와 상품 상태 모두 만족스럽습니다. 재구매 의사 있습니다.
551	1093	1	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
552	2774	5	배송 과정에서 박스가 조금 찌그러져 있었지만 내부 상품은 괜찮았습니다.
553	3807	5	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
554	1494	5	상품은 잘 도착했지만 배송이 하루 정도 늦어서 조금 아쉬웠습니다.
555	3750	1	배송 조회가 잘 되어 현재 위치를 확인하기 편했습니다. 전체적으로 만족합니다.
556	359	5	기사님이 친절하게 안내해주셨고 시간도 정확했습니다. 다음에도 이용할 생각입니다.
557	2586	5	배송이 늦어 불편했지만 고객센터 응대는 괜찮았습니다.
558	3263	5	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
559	3879	3	배송 조회가 잘 되어 현재 위치를 확인하기 편했습니다. 전체적으로 만족합니다.
560	2344	4	기사님이 친절하게 안내해주셨고 시간도 정확했습니다. 다음에도 이용할 생각입니다.
561	2720	3	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
562	3580	5	박스가 훼손되어 와서 조금 아쉬웠지만 제품에는 문제 없었습니다.
563	3168	4	배송 과정에서 박스가 조금 찌그러져 있었지만 내부 상품은 괜찮았습니다.
564	4065	5	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
565	4254	3	상품은 잘 도착했지만 배송이 하루 정도 늦어서 조금 아쉬웠습니다.
566	3478	2	상품이 흔들리지 않게 포장되어 있어 믿음이 갔습니다.
567	1479	4	배송 속도와 상품 상태 모두 만족스럽습니다. 재구매 의사 있습니다.
568	841	2	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
569	2511	4	빠른 배송 덕분에 급하게 필요했던 물건을 제때 받을 수 있었습니다.
570	1366	5	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
571	3663	1	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
572	3564	3	기사님이 친절하게 안내해주셨고 시간도 정확했습니다. 다음에도 이용할 생각입니다.
573	615	5	제품이 안전하게 도착했고 배송 알림도 잘 와서 편리했습니다.
574	2977	4	배송 과정에서 박스가 조금 찌그러져 있었지만 내부 상품은 괜찮았습니다.
575	256	3	상품이 흔들리지 않게 포장되어 있어 믿음이 갔습니다.
576	3590	1	상품은 잘 도착했지만 배송이 하루 정도 늦어서 조금 아쉬웠습니다.
577	1934	5	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
578	2967	4	생각보다 배송 품질이 좋아 만족합니다. 다음에도 이용할 예정입니다.
579	266	5	박스가 훼손되어 와서 조금 아쉬웠지만 제품에는 문제 없었습니다.
580	3039	4	상품은 잘 도착했지만 배송이 하루 정도 늦어서 조금 아쉬웠습니다.
581	4702	3	정확한 시간에 배송이 와서 좋았습니다. 전체적으로 무난한 서비스였습니다.
582	3261	4	생각보다 배송 기간이 길었지만 제품 상태는 좋아서 만족합니다.
583	2045	5	배송이 예상보다 훨씬 빨라서 만족합니다. 포장 상태도 깔끔했고 제품 손상 없이 잘 도착했어요.
584	1525	4	제품이 안전하게 도착했고 배송 알림도 잘 와서 편리했습니다.
585	4602	2	생각보다 배송 기간이 길었지만 제품 상태는 좋아서 만족합니다.
586	3656	3	상품이 흔들리지 않게 포장되어 있어 믿음이 갔습니다.
587	2340	5	전반적으로 만족스러운 배송 서비스였습니다. 기사님도 친절했어요.
588	1640	2	상품은 잘 도착했지만 배송이 하루 정도 늦어서 조금 아쉬웠습니다.
589	3704	3	박스가 훼손되어 와서 조금 아쉬웠지만 제품에는 문제 없었습니다.
590	720	5	배송 속도와 상품 상태 모두 만족스럽습니다. 재구매 의사 있습니다.
591	2847	5	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
592	4442	3	포장이 너무 약해서 조금 실망했습니다. 다음에는 보완되면 좋겠어요.
593	1291	5	배송 과정에서 박스가 조금 찌그러져 있었지만 내부 상품은 괜찮았습니다.
594	2962	4	포장이 꼼꼼하게 되어 있어서 안심됐습니다. 물건 상태도 매우 좋네요.
595	1647	5	기사님 응대가 친절했고 문 앞까지 안전하게 배송해주셔서 좋았습니다.
596	4048	1	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
597	4689	4	깔끔하게 포장되어 도착했고 배송 시간도 정확했습니다.
