reno	rvno	review	score
590	4562	시설이 깔끔했어요	5
591	3006	방이 깔끔해서 마음에 듭니다	5
592	1286	직원분이 푹신하고 침대가 친절해요	5
593	4640	침대가 진짜 편해요. 침구랑 방도 엄청 깨끗했어요. 맨날 여기서 잠만 자고싶네용!	4
594	714	직원들이 친절하지가 않네요.	2
595	548	최고네요!!	5
596	2213	체크인 키오스크로 하니까 금방입니다.	5
597	4971	전화를 잘 받아주세요.	2
598	651	룸이 사진보다 작아서 다소 불편했어요.. 옷장이 없는것도 불편했답니다. 나머진 괜챤아요~ 생각보다 조식이 종류는 많치안았는데 먹을만합니다^^	1
599	4209	체크인 키오스크로 하니까 금방입니다.	5
600	4602	그냥 평범했어요	3
601	1167	오션뷰 진짜 너무 좋아요!!	5
602	3008	잘 쉬다갑니당!	5
603	1568	좋은데, 조금 마음에 안 드네요	4
604	3595	적당합니다.	3
605	1912	청소상태가 매우 깔끔하고, 조식도 종류가 많지 않아도 맛있고, 직원분들은 매우 친절하세요.	5
606	4388	깨끗해요	3
607	3216	급히 잡은 숙소였는데 침대도 넓고 좋았어요 ㅎㅎ 에어컨 소음이 좀 있는데 잠깐 틀어놔듀 시원해서 잘땐 끄고 잤어용	4
608	858	사진이랑 다르게 생각보다 좋았어요~	4
609	3834	프론트 직원이 너무 친절하지 않아요.	2
610	3135	바로앞에 강문해변있어서 산책하기좋아요.	5
611	3702	시설이 깔끔했어요	5
612	4524	시설도 깨끗하고 위치도 좋아요.	5
613	2916	건조한거 빼곤 매우만족	3
614	3708	급히 잡은 숙소였는데 침대도 넓고 좋았어요 ㅎㅎ 에어컨 소음이 좀 있는데 잠깐 틀어놔듀 시원해서 잘땐 끄고 잤어용	4
615	1724	너무 좋았어요! 다음에도 또 오고싶네요	5
616	1946	너무 예쁜 바다도 실컷보고 깨끗한 방에서 편안하게 잘 쉬었습니다 라운지 조식도 맛있었어요	5
617	865	그냥 호텔만 보면 깨끗하고 넓고 바다 가깝고 좋아요	3
618	2280	다만 방음이 좀 안되는게 아쉬웠어요	4
619	372	좋은 추억 가지고 갑니다.	4
620	2234	체크인도 빠르고 직원분들 친절하셔서 좋았습니다	5
621	2986	오션뷰가 아닌 논뷰도 푸릇하고 좋더라구여	5
622	1580	저렴하게 잘 놀다 왔습니다.제방문 의자 있습니다	5
623	4857	출장중에 가성비 좋게 이용했습니다. 주차 편리하였고 위치가 좋았습니다.	4
624	206	바로앞에 강문해변있어서 산책하기좋아요.	5
625	388	시설도 깨끗하고 위치도 좋아요.	5
626	2961	깨끗하고 침구도 편안해서 잘 쉬다 왔어요 !	5
627	875	좋습니다. 가성비가 조금 떨어지는 느낌이긴 합니다.	4
628	1995	실내 온도조절이 안되고, 따뜻한 물이 시간대별로 나와서 불편합니다.	1
629	2258	예약하는 곳이에요 이번에도 편히 쉬다왔어용 ~~	4
630	4298	건조한거 빼곤 매우만족	3
631	2595	"최고!최고!입니다!
잘쉬고가요~~~~"	5
632	1033	체크아웃 엘베는 저층인분들은 윗층에서 다 타고 내려오니 포기하고 계단이용해야 하는데 캐리어나 유모차는ㅠ	1
633	3909	깨끗해요	3
634	2370	실내 온도조절이 안되고, 따뜻한 물이 시간대별로 나와서 불편합니다.	1
635	546	좋습니다. 가성비가 조금 떨어지는 느낌이긴 합니다.	4
636	152	잘 쉬다갑니당!	5
637	4962	좋은데, 조금 마음에 안 드네요	4
638	4053	호텔 객실 자체는 깨끗하고 넓어서 좋았습니다	5
639	1660	침대가 진짜 편해요. 침구랑 방도 엄청 깨끗했어요. 맨날 여기서 잠만 자고싶네용!	4
640	3238	잘 쉬다 갑니다.	5
641	1985	오션뷰가 아니라 아쉬웠지만 바다 앞이라 놀기 좋았습니다~~!	3
642	111	직원들이 친절하지가 않네요.	2
643	2035	그냥 평범했어요	3
644	4672	좋습니다. 가성비가 조금 떨어지는 느낌이긴 합니다.	4
645	2576	오션뷰가 아니라 아쉬웠지만 바다 앞이라 놀기 좋았습니다~~!	3
646	4663	화장실에서 냄새가 납니다	2
647	4665	예약확인이 안되네요	1
648	542	좋습니다. 가성비가 조금 떨어지는 느낌이긴 합니다.	4
649	376	친절하고 상냥한 프런트 직원과, 맛있는 조식에 감사합니다.	4
650	3087	침대가 진짜 편해요. 침구랑 방도 엄청 깨끗했어요. 맨날 여기서 잠만 자고싶네용!	4
651	4485	동선이 좋아서 자주 이용하는 곳이예요. 환경을 생각 하는 호텔이라 더 마음에 듭니다.	6
652	2586	바다 좋아하는 사람은 파셜오션? 노노(룸이 바다쪽에 다가가지않는 이상 씨마크쪽이 더 많이보임..) 오션!!	3
653	4669	시설도 깨끗하고 위치도 좋아요.	5
654	2072	너무 예쁜 바다도 실컷보고 깨끗한 방에서 편안하게 잘 쉬었습니다 라운지 조식도 맛있었어요	5
655	2909	직원들이 친절하지가 않네요.	2
656	2682	수영장 등 부대시설 있을건 다 있구 해변 접근성도 좋습니다.	5
657	1046	룸이 사진보다 작아서 다소 불편했어요.. 옷장이 없는것도 불편했답니다. 나머진 괜챤아요~ 생각보다 조식이 종류는 많치안았는데 먹을만합니다^^	1
658	3886	건물 복잡해요	1
659	2686	룸이 사진보다 작아서 다소 불편했어요.. 옷장이 없는것도 불편했답니다. 나머진 괜챤아요~ 생각보다 조식이 종류는 많치안았는데 먹을만합니다^^	1
660	2418	청소상태가 매우 깔끔하고, 조식도 종류가 많지 않아도 맛있고, 직원분들은 매우 친절하세요.	5
661	4348	건조한거 빼곤 매우만족	3
662	4741	잘 쉬다 갑니다.	5
663	1468	훌륭한 숙소입니다.	5
664	247	호텔자체는 깔끔했어요. 근데 가격대비 너무 깡통옵션이어서 다음에 또 오는건 고민이 들 듯. 리뷰에서 유명한 체크인 줄서기 경험도 겪고, 무엇보다 뷰가...수영장이 바로 앞이어서 커튼을 열수가 없었어요.	5
665	2468	최고네요!!	5
666	4486	가족들고 즐거운 시간 ^^	5
667	1511	단 너무 깔끔하고 오션뷰 좋아요! 애견 동반 호텔이라 친화적인 느낌?ㅎ 잘 쉬다 왔습니다. 대만족 했어요.	5
668	481	훌륭한 숙소입니다.	5
669	1716	급히 잡은 숙소였는데 침대도 넓고 좋았어요 ㅎㅎ 에어컨 소음이 좀 있는데 잠깐 틀어놔듀 시원해서 잘땐 끄고 잤어용	4
670	2582	체크인 키오스크로 하니까 금방입니다.	5
671	2993	오션뷰가 아닌 논뷰도 푸릇하고 좋더라구여	5
672	4788	급히 잡은 숙소였는데 침대도 넓고 좋았어요 ㅎㅎ 에어컨 소음이 좀 있는데 잠깐 틀어놔듀 시원해서 잘땐 끄고 잤어용	4
673	4249	깨끗해요	3
674	3750	룸이 작고 샤워실이 투명이라 좀 불편하긴 합니다. 룸 사이즈는 캐리어 두 개도 펼치기 힘들 정도예요. 침대는 너무 좋아서 혼자 묵긴 좋은 곳이라고 느꼈어요. 넷플릭스 기기는 오후 늦게 들어가니 전부 대여 완료.. 그냥 룸마다 설치해 두고 요금을 더 받으시는 게. 아무튼 미리미리 대여해 두세요.	3
675	1276	호텔 객실 자체는 깨끗하고 넓어서 좋았습니다	5
676	266	사진이랑 다르게 생각보다 좋았어요~	4
677	4672	전화를 잘 받아주세요.	2
678	195	호텔자체는 깔끔했어요. 근데 가격대비 너무 깡통옵션이어서 다음에 또 오는건 고민이 들 듯. 리뷰에서 유명한 체크인 줄서기 경험도 겪고, 무엇보다 뷰가...수영장이 바로 앞이어서 커튼을 열수가 없었어요.	5
679	3979	예약확인이 안되네요	1
680	5000	오션뷰 진짜 너무 좋아요!!	5
681	371	다 좋은데 객실에 친환경으로 슬리퍼 칫솔치약을 안주는데 슬리퍼만 줬으면 더 좋았을거같아요	4
682	1539	직원들이 친절하지가 않네요.	2
683	4358	잘 쉬다 가용	5
684	1128	침구가 깨끗하고 베게도 편하고 좋았습니다.	3
685	2037	서울타워 야경맛집	5
686	2254	건물 복잡해요	1
687	1717	담에는 다른곳 이용하려구요	1
688	2395	편하게 잘 다녀 왔습니다^^	5
689	2875	침구가 깨끗하고 베게도 편하고 좋았습니다.	3
690	2467	시설이 깔끔했어요	5
691	2868	체크아웃 엘베는 저층인분들은 윗층에서 다 타고 내려오니 포기하고 계단이용해야 하는데 캐리어나 유모차는ㅠ	1
692	991	예약하는 곳이에요 이번에도 편히 쉬다왔어용 ~~	4
693	1177	화장실에서 냄새가 납니다	2
694	1465	방이랑 수영장 모두 좋았어요!!	5
695	1273	오션뷰가 아니라 아쉬웠지만 바다 앞이라 놀기 좋았습니다~~!	3
696	1765	좋은 추억 가지고 갑니다.	4
697	2470	건조한거 빼곤 매우만족	3
698	3802	다만 방음이 좀 안되는게 아쉬웠어요	4
699	4065	예약확인이 안되네요	1
700	4430	조금 낙후된부분들 레노하면 좋을거같아요	2
701	3955	담에는 다른곳 이용하려구요	1
702	492	침대가 아주 편안하구 아늑한걸 추구하시면 좋은 호텔이에요	5
703	800	예약하는 곳이에요 이번에도 편히 쉬다왔어용 ~~	4
704	1588	화장실에서 냄새가 납니다	2
705	2428	룸이 작고 샤워실이 투명이라 좀 불편하긴 합니다. 룸 사이즈는 캐리어 두 개도 펼치기 힘들 정도예요. 침대는 너무 좋아서 혼자 묵긴 좋은 곳이라고 느꼈어요. 넷플릭스 기기는 오후 늦게 들어가니 전부 대여 완료.. 그냥 룸마다 설치해 두고 요금을 더 받으시는 게. 아무튼 미리미리 대여해 두세요.	3
706	4492	호텔 객실 자체는 깨끗하고 넓어서 좋았습니다	5
707	962	호텔자체는 깔끔했어요. 근데 가격대비 너무 깡통옵션이어서 다음에 또 오는건 고민이 들 듯. 리뷰에서 유명한 체크인 줄서기 경험도 겪고, 무엇보다 뷰가...수영장이 바로 앞이어서 커튼을 열수가 없었어요.	5
708	2353	건조한거 빼곤 매우만족	3
709	1866	요즘 따라 점점 별로가 되는 기분인데요. 발전해주시기 바랍니다.	2
710	1025	급히 잡은 숙소였는데 침대도 넓고 좋았어요 ㅎㅎ 에어컨 소음이 좀 있는데 잠깐 틀어놔듀 시원해서 잘땐 끄고 잤어용	4
711	3510	아주 좋습니다.	5
712	4830	예약확인이 안되네요	1
713	4477	건물 복잡해요	1
714	4581	실내 온도조절이 안되고, 따뜻한 물이 시간대별로 나와서 불편합니다.	1
715	1422	"최고!최고!입니다!
잘쉬고가요~~~~"	5
716	594	조식도 먹었는데 17층이라 그런지 강남 뷰 보면서 아주 잘 먹었어요. 담에 또 올거에요~~	5
717	1340	침대가 진짜 편해요. 침구랑 방도 엄청 깨끗했어요. 맨날 여기서 잠만 자고싶네용!	4
718	818	적당적당한 줄 알았더니, 더 좋네요. 생각보다	5
719	4448	룸이 사진보다 작아서 다소 불편했어요.. 옷장이 없는것도 불편했답니다. 나머진 괜챤아요~ 생각보다 조식이 종류는 많치안았는데 먹을만합니다^^	1
720	3324	깨끗해요	3
721	1739	아주 좋습니다.	5
722	1566	단 너무 깔끔하고 오션뷰 좋아요! 애견 동반 호텔이라 친화적인 느낌?ㅎ 잘 쉬다 왔습니다. 대만족 했어요.	5
723	4260	좋습니다. 가성비가 조금 떨어지는 느낌이긴 합니다.	4
724	3675	잘 쉬다 갑니다.	5
725	3886	다시는 안갑니다.	1
726	3156	위치, 장소, 서비스, 룸 컨디션 모두 좋아요. 다만 화장실이 방음이 전혀안되서 예민하신분들은 신경쓰이실듯 합니다.	5
727	273	편하게 잘 다녀 왔습니다^^	5
728	888	훌륭한 숙소입니다.	5
729	880	최고다 이건	5
730	4114	침대가 아주 편안하구 아늑한걸 추구하시면 좋은 호텔이에요	5
731	850	그냥 평범했어요	3
732	577	예약하는 곳이에요 이번에도 편히 쉬다왔어용 ~~	4
733	1389	프론트 직원이 너무 친절하지 않아요.	2
734	1767	직원분들도 엄청 친절하세요	5
735	3678	수영장 등 부대시설 있을건 다 있구 해변 접근성도 좋습니다.	5
736	2865	친절하고 상냥한 프런트 직원과, 맛있는 조식에 감사합니다.	4
737	4715	출장중에 가성비 좋게 이용했습니다. 주차 편리하였고 위치가 좋았습니다.	4
738	3478	오션뷰 진짜 너무 좋아요!!	5
739	1430	강아지도 많이 데려오시더라구요. 세면도구는 챙겨가셔야 합니당	5
740	3732	직원들이 친절하지가 않네요.	2
741	1572	편하게 잘 다녀 왔습니다^^	5
742	4502	저렴하게 잘 놀다 왔습니다.제방문 의자 있습니다	5
743	3893	적당합니다.	3
744	2641	체크인도 빠르고 직원분들 친절하셔서 좋았습니다	5
745	4940	다시는 안갑니다.	1
746	2639	체크인이 불편한것 빼고는 만족했습니다	3
747	519	조금 낙후된부분들 레노하면 좋을거같아요	2
748	4819	룸서비스(음식류) 안되는 것 제외하고는 강릉에서 손꼽는 편의성을 갖춘 호텔(가성비듀 쥬아여)	4
749	3011	"최고!최고!입니다!
잘쉬고가요~~~~"	5
750	2961	룸이 작고 샤워실이 투명이라 좀 불편하긴 합니다. 룸 사이즈는 캐리어 두 개도 펼치기 힘들 정도예요. 침대는 너무 좋아서 혼자 묵긴 좋은 곳이라고 느꼈어요. 넷플릭스 기기는 오후 늦게 들어가니 전부 대여 완료.. 그냥 룸마다 설치해 두고 요금을 더 받으시는 게. 아무튼 미리미리 대여해 두세요.	3
751	1093	담에는 다른곳 이용하려구요	1
752	3182	친절합니다. 	4
753	3969	잘 쉬다 가용	5
754	3194	호텔자체는 깔끔했어요. 근데 가격대비 너무 깡통옵션이어서 다음에 또 오는건 고민이 들 듯. 리뷰에서 유명한 체크인 줄서기 경험도 겪고, 무엇보다 뷰가...수영장이 바로 앞이어서 커튼을 열수가 없었어요.	5
755	699	훌륭한 숙소입니다.	5
756	4681	호텔 객실 자체는 깨끗하고 넓어서 좋았습니다	5
757	1000	좋은데, 조금 마음에 안 드네요	4
758	3819	시설이 깔끔했어요	5
759	3674	방이 깔끔해서 마음에 듭니다	5
760	748	잘 쉬다갑니당!	5
761	2114	침대가 아주 편안하구 아늑한걸 추구하시면 좋은 호텔이에요	5
762	457	청결상태에 조금 더 신경 써주시길 바랍니다.	3
763	3209	룸이 사진보다 작아서 다소 불편했어요.. 옷장이 없는것도 불편했답니다. 나머진 괜챤아요~ 생각보다 조식이 종류는 많치안았는데 먹을만합니다^^	1
764	4161	동선이 좋아서 자주 이용하는 곳이예요. 환경을 생각 하는 호텔이라 더 마음에 듭니다.	6
765	616	침구가 깨끗하고 베게도 편하고 좋았습니다.	3
766	3950	그냥 호텔만 보면 깨끗하고 넓고 바다 가깝고 좋아요	3
767	1060	다만 방음이 좀 안되는게 아쉬웠어요	4
768	4602	체크아웃 엘베는 저층인분들은 윗층에서 다 타고 내려오니 포기하고 계단이용해야 하는데 캐리어나 유모차는ㅠ	1
769	686	호텔 내 주차장 공간이 좀 아쉬웠지만 만족했습니다.^^	3
770	2717	가족들고 즐거운 시간 ^^	5
771	4363	호텔 객실 자체는 깨끗하고 넓어서 좋았습니다	5
772	421	화장실에서 냄새가 납니다	2
773	983	그냥 평범했어요	3
774	3598	가족들고 즐거운 시간 ^^	5
775	1029	담에는 다른곳 이용하려구요	1
776	2596	그냥 호텔만 보면 깨끗하고 넓고 바다 가깝고 좋아요	3
777	4599	방이랑 수영장 모두 좋았어요!!	5
778	2275	체크인도 빠르고 직원분들 친절하셔서 좋았습니다	5
779	1748	체크인도 빠르고 직원분들 친절하셔서 좋았습니다	5
780	1660	친절합니다. 	4
781	4040	잘 쉬다갑니당!	5
782	1	글쎄요, 좋은 거 같은데 이 정도면..	3
783	1465	바로앞에 강문해변있어서 산책하기좋아요.	5
784	3132	"최고!최고!입니다!
잘쉬고가요~~~~"	5
785	2757	건물 복잡해요	1
786	580	체크인 키오스크로 하니까 금방입니다.	5
787	4871	적당적당한 줄 알았더니, 더 좋네요. 생각보다	5
788	2053	침구가 깨끗하고 베게도 편하고 좋았습니다.	3
789	3867	화장실에서 냄새가 납니다	2
790	1687	침구가 깨끗하고 베게도 편하고 좋았습니다.	3
791	2913	시설이 깔끔했어요	5
792	2411	가족들고 즐거운 시간 ^^	5
793	4219	그냥 평범했어요	3
794	4469	단 너무 깔끔하고 오션뷰 좋아요! 애견 동반 호텔이라 친화적인 느낌?ㅎ 잘 쉬다 왔습니다. 대만족 했어요.	5
795	411	직원들이 친절하지가 않네요.	3
796	2908	조식도 먹었는데 17층이라 그런지 강남 뷰 보면서 아주 잘 먹었어요. 담에 또 올거에요~~	5
797	2195	룸이 작고 샤워실이 투명이라 좀 불편하긴 합니다. 룸 사이즈는 캐리어 두 개도 펼치기 힘들 정도예요. 침대는 너무 좋아서 혼자 묵긴 좋은 곳이라고 느꼈어요. 넷플릭스 기기는 오후 늦게 들어가니 전부 대여 완료.. 그냥 룸마다 설치해 두고 요금을 더 받으시는 게. 아무튼 미리미리 대여해 두세요.	3
798	2523	출장중에 가성비 좋게 이용했습니다. 주차 편리하였고 위치가 좋았습니다.	4
799	431	급히 잡은 숙소였는데 침대도 넓고 좋았어요 ㅎㅎ 에어컨 소음이 좀 있는데 잠깐 틀어놔듀 시원해서 잘땐 끄고 잤어용	4
800	2245	룸서비스(음식류) 안되는 것 제외하고는 강릉에서 손꼽는 편의성을 갖춘 호텔(가성비듀 쥬아여)	4
801	1018	"최고!최고!입니다!
잘쉬고가요~~~~"	5
802	1132	서비스, 질 모든 면에서 만족스럽지 않네요.	1
803	1582	체크인 도와주시는분이 불친절했고 체크아웃하고 출차하면서 6만원 계산하라고 해서 확인해보니 차량번호도 일부러 잘못등록하신건가 싶었네요	1
804	3445	적당합니다.	3
805	1722	방이 깔끔해서 마음에 듭니다	5
806	3089	단 너무 깔끔하고 오션뷰 좋아요! 애견 동반 호텔이라 친화적인 느낌?ㅎ 잘 쉬다 왔습니다. 대만족 했어요.	5
807	320	훌륭한 숙소입니다.	5
808	4253	사진이랑 다르게 생각보다 좋았어요~	4
809	4453	편하게 잘 다녀 왔습니다^^	5
810	2869	침대가 아주 편안하구 아늑한걸 추구하시면 좋은 호텔이에요	5
811	1266	최고네요!!	5
812	4661	깨끗하고 침구도 편안해서 잘 쉬다 왔어요 !	5
813	1610	편하게 잘 다녀 왔습니다^^	5
814	62	침구가 깨끗하고 베게도 편하고 좋았습니다.	3
815	4303	재방문의사있습니다.	5
816	4988	오션뷰가 아닌 논뷰도 푸릇하고 좋더라구여	5
817	2418	적당합니다.	3
818	3681	바로앞에 강문해변있어서 산책하기좋아요.	5
819	956	오션뷰가 아닌 논뷰도 푸릇하고 좋더라구여	5
820	2212	뭐라 할 건 없는데 조금 그렇네요	4
821	4608	저렴하게 잘 놀다 왔습니다.제방문 의자 있습니다	5
822	2214	화장실에서 냄새가 납니다	2
823	4429	바다 좋아하는 사람은 파셜오션? 노노(룸이 바다쪽에 다가가지않는 이상 씨마크쪽이 더 많이보임..) 오션!!	3
824	556	최고입니다.123	5
825	2504	방이랑 수영장 모두 좋았어요!!	5
826	3267	깨끗해요	3
827	1382	적당합니다.	3
828	3425	출장중에 가성비 좋게 이용했습니다. 주차 편리하였고 위치가 좋았습니다.	4
829	81	바로앞에 강문해변있어서 산책하기좋아요.	5
830	1401	글쎄요, 좋은 거 같은데 이 정도면..	3
831	157	저렴하게 잘 놀다 왔습니다.제방문 의자 있습니다	5
832	377	예약방식이 너무 어렵습니다.	1
833	3781	직원들이 친절하지가 않네요.	2
834	2457	침대가 아주 편안하구 아늑한걸 추구하시면 좋은 호텔이에요	5
835	2186	다시는 안갑니다.	1
836	250	호텔 객실 자체는 깨끗하고 넓어서 좋았습니다	5
837	4620	좋은 추억 가지고 갑니다.	4
838	3499	청소상태가 매우 깔끔하고, 조식도 종류가 많지 않아도 맛있고, 직원분들은 매우 친절하세요.	5
839	349	침구가 깨끗하고 베게도 편하고 좋았습니다.	3
840	1826	최고다 이건	5
841	3827	화장실에서 냄새가 납니다	2
842	3748	예약방식이 너무 어렵습니다.	1
843	4999	좋습니다. 가성비가 조금 떨어지는 느낌이긴 합니다.	4
844	4744	프론트 직원이 너무 친절하지 않아요.	2
845	4591	예약방식이 너무 어렵습니다.	1
846	2150	룸이 작고 샤워실이 투명이라 좀 불편하긴 합니다. 룸 사이즈는 캐리어 두 개도 펼치기 힘들 정도예요. 침대는 너무 좋아서 혼자 묵긴 좋은 곳이라고 느꼈어요. 넷플릭스 기기는 오후 늦게 들어가니 전부 대여 완료.. 그냥 룸마다 설치해 두고 요금을 더 받으시는 게. 아무튼 미리미리 대여해 두세요.	3
847	967	예약방식이 너무 어렵습니다.	1
848	780	편하게 잘 다녀 왔습니다^^	5
849	4173	잘 쉬다 가용	5
850	322	너무 예쁜 바다도 실컷보고 깨끗한 방에서 편안하게 잘 쉬었습니다 라운지 조식도 맛있었어요	5
851	137	방이랑 수영장 모두 좋았어요!!	5
852	1452	조금 낙후된부분들 레노하면 좋을거같아요	2
853	1888	좋은 추억 가지고 갑니다.	4
854	1307	건물 복잡해요	1
855	1080	체크아웃 엘베는 저층인분들은 윗층에서 다 타고 내려오니 포기하고 계단이용해야 하는데 캐리어나 유모차는ㅠ	1
856	1284	그냥 호텔만 보면 깨끗하고 넓고 바다 가깝고 좋아요	3
857	3400	방이 깔끔해서 마음에 듭니다	5
858	2003	편하게 잘 다녀 왔습니다^^	5
859	2950	건물 복잡해요	1
860	3864	화장실에서 냄새가 납니다	2
861	935	친절하고 상냥한 프런트 직원과, 맛있는 조식에 감사합니다.	4
862	1648	룸이 사진보다 작아서 다소 불편했어요.. 옷장이 없는것도 불편했답니다. 나머진 괜챤아요~ 생각보다 조식이 종류는 많치안았는데 먹을만합니다^^	1
863	1705	좋은 추억 가지고 갑니다.	4
864	2203	청소상태가 매우 깔끔하고, 조식도 종류가 많지 않아도 맛있고, 직원분들은 매우 친절하세요.	5
865	4715	좋습니다. 가성비가 조금 떨어지는 느낌이긴 합니다.	4
866	1885	체크인이 불편한것 빼고는 만족했습니다	3
867	989	좋은데, 조금 마음에 안 드네요	4
868	4086	글쎄요, 좋은 거 같은데 이 정도면..	3
869	3839	건조한거 빼곤 매우만족	3
870	1115	뭐라 할 건 없는데 조금 그렇네요	4
871	1420	훌륭한 숙소입니다.	5
872	2594	요즘 따라 점점 별로가 되는 기분인데요. 발전해주시기 바랍니다.	2
873	3328	프론트 직원이 너무 친절하지 않아요.	2
874	423	훌륭한 숙소입니다.	5
875	4692	글쎄요, 좋은 거 같은데 이 정도면..	3
876	4710	좋은데, 조금 마음에 안 드네요	4
877	4966	건조한거 빼곤 매우만족	3
878	500	적당합니다.	3
879	304	화장실에서 냄새가 납니다	2
880	3243	단 너무 깔끔하고 오션뷰 좋아요! 애견 동반 호텔이라 친화적인 느낌?ㅎ 잘 쉬다 왔습니다. 대만족 했어요.	5
881	1981	예약하는 곳이에요 이번에도 편히 쉬다왔어용 ~~	4
882	116	체크인 도와주시는분이 불친절했고 체크아웃하고 출차하면서 6만원 계산하라고 해서 확인해보니 차량번호도 일부러 잘못등록하신건가 싶었네요	1
883	3653	편하게 잘 다녀 왔습니다^^	5
884	4324	시설도 깨끗하고 위치도 좋아요.	5
885	2789	아주 좋습니다.	5
886	3773	호텔 내 주차장 공간이 좀 아쉬웠지만 만족했습니다.^^	3
887	876	직원들이 친절하지가 않네요.	2
888	1945	출장중에 가성비 좋게 이용했습니다. 주차 편리하였고 위치가 좋았습니다.	4
889	3188	편하게 잘 다녀 왔습니다^^	5
890	2507	잘 쉬다갑니당!	5
891	2062	잘 쉬다 가용	5
892	776	바로앞에 강문해변있어서 산책하기좋아요.	5
893	4382	청소상태가 매우 깔끔하고, 조식도 종류가 많지 않아도 맛있고, 직원분들은 매우 친절하세요.	5
894	2881	잘 쉬다갑니당!	5
895	1795	그냥 평범했어요	3
896	1872	호텔자체는 깔끔했어요. 근데 가격대비 너무 깡통옵션이어서 다음에 또 오는건 고민이 들 듯. 리뷰에서 유명한 체크인 줄서기 경험도 겪고, 무엇보다 뷰가...수영장이 바로 앞이어서 커튼을 열수가 없었어요.	5
897	1311	프론트 직원이 너무 친절하지 않아요.	2
898	3631	청결상태에 조금 더 신경 써주시길 바랍니다.	3
899	1690	직원들이 친절하지가 않네요.	2
900	390	너무 예쁜 바다도 실컷보고 깨끗한 방에서 편안하게 잘 쉬었습니다 라운지 조식도 맛있었어요	5
901	4131	그냥 호텔만 보면 깨끗하고 넓고 바다 가깝고 좋아요	3
902	3542	깨끗하고 침구도 편안해서 잘 쉬다 왔어요 !	5
903	3997	예약확인이 안되네요	1
904	1654	바로앞에 강문해변있어서 산책하기좋아요.	5
905	4698	최고입니다.123	5
906	1904	너무 예쁜 바다도 실컷보고 깨끗한 방에서 편안하게 잘 쉬었습니다 라운지 조식도 맛있었어요	5
907	2153	침대가 아주 편안하구 아늑한걸 추구하시면 좋은 호텔이에요	5
908	2428	글쎄요, 좋은 거 같은데 이 정도면..	3
909	4550	오션뷰 진짜 너무 좋아요!!	5
910	1653	호텔 내 주차장 공간이 좀 아쉬웠지만 만족했습니다.^^	3
911	2081	청결상태에 조금 더 신경 써주시길 바랍니다.	3
912	2395	가족들고 즐거운 시간 ^^	5
913	3643	단 너무 깔끔하고 오션뷰 좋아요! 애견 동반 호텔이라 친화적인 느낌?ㅎ 잘 쉬다 왔습니다. 대만족 했어요.	5
914	69	가족들고 즐거운 시간 ^^	5
915	4148	잘 쉬다 갑니다.	5
916	892	재방문의사있습니다.	5
917	3533	방이랑 수영장 모두 좋았어요!!	5
918	4987	잘 쉬다 갑니다.	5
919	452	방이랑 수영장 모두 좋았어요!!	5
920	1741	깨끗해요	3
921	3424	출장중에 가성비 좋게 이용했습니다. 주차 편리하였고 위치가 좋았습니다.	4
922	2673	침대가 진짜 편해요. 침구랑 방도 엄청 깨끗했어요. 맨날 여기서 잠만 자고싶네용!	4
923	4964	출장중에 가성비 좋게 이용했습니다. 주차 편리하였고 위치가 좋았습니다.	4
924	4348	서비스, 질 모든 면에서 만족스럽지 않네요.	1
925	1372	실내 온도조절이 안되고, 따뜻한 물이 시간대별로 나와서 불편합니다.	1
926	1165	저렴하게 잘 놀다 왔습니다.제방문 의자 있습니다	5
927	2026	직원분이 푹신하고 침대가 친절해요	5
928	361	최고다 이건	5
929	2771	좋은데, 조금 마음에 안 드네요	4
930	1728	너무 예쁜 바다도 실컷보고 깨끗한 방에서 편안하게 잘 쉬었습니다 라운지 조식도 맛있었어요	5
931	2977	침구가 깨끗하고 베게도 편하고 좋았습니다.	3
932	4653	예약방식이 너무 어렵습니다.	1
933	3835	호텔자체는 깔끔했어요. 근데 가격대비 너무 깡통옵션이어서 다음에 또 오는건 고민이 들 듯. 리뷰에서 유명한 체크인 줄서기 경험도 겪고, 무엇보다 뷰가...수영장이 바로 앞이어서 커튼을 열수가 없었어요.	5
934	4745	침대가 아주 편안하구 아늑한걸 추구하시면 좋은 호텔이에요	5
935	117	체크인도 빠르고 직원분들 친절하셔서 좋았습니다	5
936	4292	실내 온도조절이 안되고, 따뜻한 물이 시간대별로 나와서 불편합니다.	1
937	2822	깨끗하고 침구도 편안해서 잘 쉬다 왔어요 !	5
938	1711	적당적당한 줄 알았더니, 더 좋네요. 생각보다	5
939	1748	친절하고 상냥한 프런트 직원과, 맛있는 조식에 감사합니다.	4
940	601	친절하고 상냥한 프런트 직원과, 맛있는 조식에 감사합니다.	4
941	2559	잘 쉬다갑니당!	5
942	3423	친절합니다. 	4
943	4740	훌륭한 숙소입니다.	5
944	1562	방이 깔끔해서 마음에 듭니다	5
945	3921	좋은데, 조금 마음에 안 드네요	4
946	3675	적당합니다.	3
947	541	재방문의사있습니다.	5
948	2330	친절합니다. 	4
949	3278	"최고!최고!입니다!
잘쉬고가요~~~~"	5
950	336	실내 온도조절이 안되고, 따뜻한 물이 시간대별로 나와서 불편합니다.	1
951	3539	침대가 아주 편안하구 아늑한걸 추구하시면 좋은 호텔이에요	5
952	4952	깨끗해요	3
