j_no	s_no	j_title	j_content	j_salary	j_start	j_end	j_day	j_people	j_state	j_regdate
105	105	이지편의점 화,목,토 알바 모집	이지편의점은 대전 지역의 편의점 매장입니다. 계산대 응대와 담배 재고 확인을 맡고 도시락 삼각김밥 유통기한을 시간대별로 점검합니다. 손님 응대가 부담스럽지 않도록 기본 멘트와 처리 순서가 정해져 있어 처음 근무하는 분도 지원하기 좋습니다. 처음이라도 배우려는 자세가 있으면 충분히 적응할 수 있습니다.	10800	20:00:00	04:00:00	화,목,토	2	0	2026-08-15
106	106	오늘편의점 월,화,수 알바 모집	오늘편의점은 대전 지역의 편의점 매장입니다. 행사 상품 가격표를 확인하고 손님 문의가 많은 생활용품 위치를 안내합니다. 매장 분위기가 밝고 동료와 함께 움직이는 일이 많아 기본적인 소통과 책임감이 중요합니다. 손님이 많은 시간에도 침착하게 움직일 수 있는 분을 환영합니다.	11100	21:00:00	01:00:00	월,화,수	3	1	2026-08-01
107	107	스마일24 목,금,토 알바 모집	스마일24은 대전 지역의 편의점 매장입니다. 택배 접수와 보관함 정리 컵라면 온수대 청결 관리까지 매장 기본 업무를 담당합니다. 혼자 모든 일을 처리하기보다 상황에 맞게 직원과 나누어 진행하므로 차분하게 배우면 충분히 가능합니다. 정리정돈을 좋아하고 맡은 일을 끝까지 마무리하는 분에게 잘 맞습니다.	11400	22:00:00	03:00:00	목,금,토	4	1	2026-08-11
108	108	미소덮밥 주말 알바 모집	미소덮밥은 대전 지역의 음식점 매장입니다. 주방과 홀 사이에서 요청 사항을 전달하고 주문 누락이 없도록 영수증을 확인합니다. 초보자도 매뉴얼을 보며 바로 적응할 수 있도록 담당자가 근무 초반에 업무 흐름을 안내합니다. 정리정돈을 좋아하고 맡은 일을 끝까지 마무리하는 분에게 잘 맞습니다.	11900	10:00:00	16:00:00	주말	1	1	2026-07-10
109	109	달빛식당 월,수,금 알바 모집	달빛식당은 대전 지역의 음식점 매장입니다. 포장 주문 확인과 배달 기사 전달을 보조하고 홀 바닥과 셀프 코너를 수시로 정리합니다. 손님 응대가 부담스럽지 않도록 기본 멘트와 처리 순서가 정해져 있어 처음 근무하는 분도 지원하기 좋습니다. 동료와 소통하며 필요한 부분을 바로 확인하는 태도를 기대합니다.	12200	11:00:00	18:00:00	월,수,금	2	1	2026-08-25
110	110	하루패스트푸드 월,화,수 알바 모집	하루패스트푸드은 대전 지역의 패스트푸드 매장입니다. 카운터 주문 접수와 세트 메뉴 포장을 맡고 감자튀김 음료 준비를 보조합니다. 매장 분위기가 밝고 동료와 함께 움직이는 일이 많아 기본적인 소통과 책임감이 중요합니다. 손님이 많은 시간에도 침착하게 움직일 수 있는 분을 환영합니다.	12700	13:00:00	21:00:00	월,화,수	3	1	2026-07-09
111	111	버거타임 목,금,토 알바 모집	버거타임은 대전 지역의 패스트푸드 매장입니다. 마감 시간에는 트레이 정리 쓰레기 분리 매장 바닥 청소를 함께 진행합니다. 혼자 모든 일을 처리하기보다 상황에 맞게 직원과 나누어 진행하므로 차분하게 배우면 충분히 가능합니다. 근무 시간과 기본 규칙을 잘 지킬 수 있는 분이면 좋습니다.	13000	18:00:00	22:00:00	목,금,토	4	1	2026-08-27
112	112	치킨박스 평일 알바 모집	치킨박스은 대전 지역의 패스트푸드 매장입니다. 키오스크 주문 번호를 확인해 픽업대에 정확히 전달하고 소스 냅킨 재고를 채웁니다. 초보자도 매뉴얼을 보며 바로 적응할 수 있도록 담당자가 근무 초반에 업무 흐름을 안내합니다. 처음이라도 배우려는 자세가 있으면 충분히 적응할 수 있습니다.	13300	19:00:00	00:00:00	평일	1	0	2026-07-23
113	113	고소한빵집 월,수,금 알바 모집	고소한빵집은 대전 지역의 베이커리 매장입니다. 마감 전 남은 제품 정리와 매대 청소 포장지 재고 확인을 진행합니다. 손님 응대가 부담스럽지 않도록 기본 멘트와 처리 순서가 정해져 있어 처음 근무하는 분도 지원하기 좋습니다. 정리정돈을 좋아하고 맡은 일을 끝까지 마무리하는 분에게 잘 맞습니다.	13800	21:00:00	03:00:00	월,수,금	2	1	2026-08-29
114	114	모닝브레드 화,목,토 알바 모집	모닝브레드은 대전 지역의 베이커리 매장입니다. 갓 나온 빵을 종류별로 배치하고 손님이 고른 제품을 깔끔하게 포장합니다. 매장 분위기가 밝고 동료와 함께 움직이는 일이 많아 기본적인 소통과 책임감이 중요합니다. 동료와 소통하며 필요한 부분을 바로 확인하는 태도를 기대합니다.	14100	22:00:00	05:00:00	화,목,토	3	1	2026-07-16
115	115	달콤제과 월,화,수 알바 모집	달콤제과은 대전 지역의 베이커리 매장입니다. 오전에는 빵 진열과 집게 트레이 정리를 맡고 오후에는 포장과 계산 보조를 담당합니다. 혼자 모든 일을 처리하기보다 상황에 맞게 직원과 나누어 진행하므로 차분하게 배우면 충분히 가능합니다. 동료와 소통하며 필요한 부분을 바로 확인하는 태도를 기대합니다.	14400	09:00:00	17:00:00	월,화,수	4	1	2026-08-08
116	116	플레이온PC 평일 알바 모집	플레이온PC은 대전 지역의 PC방 매장입니다. 주방 조리대와 컵라면 코너를 청결하게 유지하고 주문 번호에 맞춰 메뉴를 전달합니다. 초보자도 매뉴얼을 보며 바로 적응할 수 있도록 담당자가 근무 초반에 업무 흐름을 안내합니다. 처음이라도 배우려는 자세가 있으면 충분히 적응할 수 있습니다.	10400	11:00:00	15:00:00	평일	1	1	2026-06-28
117	117	블루넷PC방 주말 알바 모집	블루넷PC방은 대전 지역의 PC방 매장입니다. 회원 문의와 시간 충전 안내를 맡고 라면 음료 스낵 재고를 확인합니다. 손님 응대가 부담스럽지 않도록 기본 멘트와 처리 순서가 정해져 있어 처음 근무하는 분도 지원하기 좋습니다. 손님이 많은 시간에도 침착하게 움직일 수 있는 분을 환영합니다.	10700	12:00:00	17:00:00	주말	2	1	2026-08-17
118	118	게임스테이션 월,수,금 알바 모집	게임스테이션은 대전 지역의 PC방 매장입니다. PC 오류 요청이 들어오면 기본 확인 후 관리자에게 전달하고 빈 좌석을 빠르게 정리합니다. 매장 분위기가 밝고 동료와 함께 움직이는 일이 많아 기본적인 소통과 책임감이 중요합니다. 정리정돈을 좋아하고 맡은 일을 끝까지 마무리하는 분에게 잘 맞습니다.	11000	13:00:00	19:00:00	월,수,금	3	1	2026-07-08
119	119	라운지PC 화,목,토 알바 모집	라운지PC은 대전 지역의 PC방 매장입니다. 야간에는 좌석 상태를 순회 점검하고 프린터 이용과 충전 문의를 차분히 처리합니다. 혼자 모든 일을 처리하기보다 상황에 맞게 직원과 나누어 진행하므로 차분하게 배우면 충분히 가능합니다. 정리정돈을 좋아하고 맡은 일을 끝까지 마무리하는 분에게 잘 맞습니다.	11300	18:00:00	01:00:00	화,목,토	4	0	2026-06-29
120	120	별빛시네마 목,금,토 알바 모집	별빛시네마은 대전 지역의 영화관 매장입니다. 입장권 확인과 상영관 입장 안내를 맡고 영화 종료 후 좌석 사이 쓰레기를 정리합니다. 초보자도 매뉴얼을 보며 바로 적응할 수 있도록 담당자가 근무 초반에 업무 흐름을 안내합니다. 동료와 소통하며 필요한 부분을 바로 확인하는 태도를 기대합니다.	11800	20:00:00	04:00:00	목,금,토	1	1	2026-08-13
121	121	프라임시네마 평일 알바 모집	프라임시네마은 대전 지역의 영화관 매장입니다. 상영관 청소와 3D 안경 회수 정리를 맡아 다음 회차 입장이 늦어지지 않게 준비합니다. 손님 응대가 부담스럽지 않도록 기본 멘트와 처리 순서가 정해져 있어 처음 근무하는 분도 지원하기 좋습니다. 근무 시간과 기본 규칙을 잘 지킬 수 있는 분이면 좋습니다.	12100	21:00:00	01:00:00	평일	2	1	2026-07-25
122	122	스카이무비 주말 알바 모집	스카이무비은 대전 지역의 영화관 매장입니다. 매점에서 팝콘 음료 세트 포장을 보조하고 대기 줄이 길어지면 주문 안내를 돕습니다. 매장 분위기가 밝고 동료와 함께 움직이는 일이 많아 기본적인 소통과 책임감이 중요합니다. 근무 시간과 기본 규칙을 잘 지킬 수 있는 분이면 좋습니다.	12400	22:00:00	03:00:00	주말	3	1	2026-08-18
123	123	해법스터디 화,목,토 알바 모집	해법스터디은 대전 지역의 학원 매장입니다. 상담 예약표를 정리하고 강의 종료 후 교실 전등 냉난방 상태를 확인합니다. 혼자 모든 일을 처리하기보다 상황에 맞게 직원과 나누어 진행하므로 차분하게 배우면 충분히 가능합니다. 처음이라도 배우려는 자세가 있으면 충분히 적응할 수 있습니다.	12900	10:00:00	16:00:00	화,목,토	4	1	2026-07-21
124	124	라온아카데미 월,화,수 알바 모집	라온아카데미은 대전 지역의 학원 매장입니다. 프린트물 복사와 시험지 분류를 보조하며 자습실 이용 학생을 조용히 안내합니다. 초보자도 매뉴얼을 보며 바로 적응할 수 있도록 담당자가 근무 초반에 업무 흐름을 안내합니다. 정리정돈을 좋아하고 맡은 일을 끝까지 마무리하는 분에게 잘 맞습니다.	13200	11:00:00	18:00:00	월,화,수	1	1	2026-08-24
125	125	해피마트 평일 알바 모집	해피마트은 대전 지역의 마트 매장입니다. 입고 상품을 진열대에 채우고 가격표와 행사 스티커가 맞는지 꼼꼼히 확인합니다. 손님 응대가 부담스럽지 않도록 기본 멘트와 처리 순서가 정해져 있어 처음 근무하는 분도 지원하기 좋습니다. 손님이 많은 시간에도 침착하게 움직일 수 있는 분을 환영합니다.	13700	13:00:00	21:00:00	평일	2	1	2026-07-07
126	126	세이브마트 주말 알바 모집	세이브마트은 대전 지역의 마트 매장입니다. 유통기한이 가까운 상품을 분류하고 매대 앞쪽으로 상품을 보기 좋게 당겨 놓습니다. 매장 분위기가 밝고 동료와 함께 움직이는 일이 많아 기본적인 소통과 책임감이 중요합니다. 동료와 소통하며 필요한 부분을 바로 확인하는 태도를 기대합니다.	14000	18:00:00	22:00:00	주말	3	0	2026-07-23
127	127	온타임물류 화,목,토 알바 모집	온타임물류은 대전 지역의 물류센터 매장입니다. 포장 전 상품 수량을 확인하고 완충재와 송장 부착 보조를 진행합니다. 혼자 모든 일을 처리하기보다 상황에 맞게 직원과 나누어 진행하므로 차분하게 배우면 충분히 가능합니다. 밝게 인사하고 정확하게 확인하는 태도를 중요하게 봅니다.	10000	20:00:00	01:00:00	화,목,토	4	1	2026-07-03
128	128	퀵앤박스 월,화,수 알바 모집	퀵앤박스은 대전 지역의 물류센터 매장입니다. 안전 장갑을 착용하고 무거운 물품은 직원과 함께 이동하며 정해진 동선을 지킵니다. 초보자도 매뉴얼을 보며 바로 적응할 수 있도록 담당자가 근무 초반에 업무 흐름을 안내합니다. 밝게 인사하고 정확하게 확인하는 태도를 중요하게 봅니다.	10300	21:00:00	03:00:00	월,화,수	1	1	2026-07-25
129	129	새벽물류센터 목,금,토 알바 모집	새벽물류센터은 대전 지역의 물류센터 매장입니다. 출고 라인에서 지역별 박스를 구분하고 작업 통로에 물건이 쌓이지 않게 정리합니다. 손님 응대가 부담스럽지 않도록 기본 멘트와 처리 순서가 정해져 있어 처음 근무하는 분도 지원하기 좋습니다. 손님이 많은 시간에도 침착하게 움직일 수 있는 분을 환영합니다.	10600	22:00:00	05:00:00	목,금,토	2	1	2026-07-04
130	130	스피드물류 평일 알바 모집	스피드물류은 대전 지역의 물류센터 매장입니다. 입고 상품 바코드를 확인하고 분류 구역별로 박스를 이동시키는 업무를 맡습니다. 매장 분위기가 밝고 동료와 함께 움직이는 일이 많아 기본적인 소통과 책임감이 중요합니다. 손님이 많은 시간에도 침착하게 움직일 수 있는 분을 환영합니다.	10900	09:00:00	17:00:00	평일	3	1	2026-08-30
131	131	클린오피스 월,수,금 알바 모집	클린오피스은 대전 지역의 사무보조 매장입니다. 데이터 입력 후 오타를 재확인하고 완료된 문서는 폴더별로 분류합니다. 혼자 모든 일을 처리하기보다 상황에 맞게 직원과 나누어 진행하므로 차분하게 배우면 충분히 가능합니다. 정리정돈을 좋아하고 맡은 일을 끝까지 마무리하는 분에게 잘 맞습니다.	11400	11:00:00	15:00:00	월,수,금	4	1	2026-07-05
132	132	별빛사무보조 화,목,토 알바 모집	별빛사무보조은 대전 지역의 사무보조 매장입니다. 계약서와 신청서류를 순서대로 정리하고 누락된 항목이 있는지 체크합니다. 초보자도 매뉴얼을 보며 바로 적응할 수 있도록 담당자가 근무 초반에 업무 흐름을 안내합니다. 밝게 인사하고 정확하게 확인하는 태도를 중요하게 봅니다.	11700	12:00:00	17:00:00	화,목,토	1	1	2026-08-01
133	133	오피스파트너 월,화,수 알바 모집	오피스파트너은 대전 지역의 사무보조 매장입니다. 사무실 비품 수량을 확인하고 방문객 응대와 회의실 정돈을 함께 진행합니다. 손님 응대가 부담스럽지 않도록 기본 멘트와 처리 순서가 정해져 있어 처음 근무하는 분도 지원하기 좋습니다. 근무 시간과 기본 규칙을 잘 지킬 수 있는 분이면 좋습니다.	12000	13:00:00	19:00:00	월,화,수	2	0	2026-08-16
134	134	문서도움센터 목,금,토 알바 모집	문서도움센터은 대전 지역의 사무보조 매장입니다. 간단한 고객 안내 문자 발송과 회의 자료 출력 우편물 분류를 보조합니다. 매장 분위기가 밝고 동료와 함께 움직이는 일이 많아 기본적인 소통과 책임감이 중요합니다. 처음이라도 배우려는 자세가 있으면 충분히 적응할 수 있습니다.	12300	18:00:00	01:00:00	목,금,토	3	1	2026-08-17
135	135	그린스터디카페 주말 알바 모집	그린스터디카페은 대전 지역의 스터디카페 매장입니다. 좌석 이용 상태를 확인하고 무인 결제기 문의와 사물함 이용 안내를 차분히 처리합니다. 혼자 모든 일을 처리하기보다 상황에 맞게 직원과 나누어 진행하므로 차분하게 배우면 충분히 가능합니다. 정리정돈을 좋아하고 맡은 일을 끝까지 마무리하는 분에게 잘 맞습니다.	12800	20:00:00	04:00:00	주말	4	1	2026-06-25
136	136	조용한스터디 월,수,금 알바 모집	조용한스터디은 대전 지역의 스터디카페 매장입니다. 회원권 문의를 안내하고 프린터 용지와 간단 비품 재고를 확인합니다. 초보자도 매뉴얼을 보며 바로 적응할 수 있도록 담당자가 근무 초반에 업무 흐름을 안내합니다. 정리정돈을 좋아하고 맡은 일을 끝까지 마무리하는 분에게 잘 맞습니다.	13100	21:00:00	01:00:00	월,수,금	1	1	2026-08-17
137	137	온에어스터디 화,목,토 알바 모집	온에어스터디은 대전 지역의 스터디카페 매장입니다. 음료 코너 컵 얼음 정수기 주변을 정리하고 조용한 분위기가 유지되도록 순회합니다. 손님 응대가 부담스럽지 않도록 기본 멘트와 처리 순서가 정해져 있어 처음 근무하는 분도 지원하기 좋습니다. 동료와 소통하며 필요한 부분을 바로 확인하는 태도를 기대합니다.	13400	22:00:00	03:00:00	화,목,토	2	1	2026-07-25
138	138	포커스라운지 월,화,수 알바 모집	포커스라운지은 대전 지역의 스터디카페 매장입니다. 야간에는 소음 민원을 확인하고 출입문 보안과 공용 공간 청결 상태를 점검합니다. 매장 분위기가 밝고 동료와 함께 움직이는 일이 많아 기본적인 소통과 책임감이 중요합니다. 밝게 인사하고 정확하게 확인하는 태도를 중요하게 봅니다.	13700	09:00:00	15:00:00	월,화,수	3	1	2026-07-02
139	139	하루커피 주말 알바 모집	하루커피은 인천 지역의 카페 매장입니다. 오전에는 원두와 우유 재고를 확인하고 피크 시간에는 음료 전달과 픽업대 정리를 함께 진행합니다. 혼자 모든 일을 처리하기보다 상황에 맞게 직원과 나누어 진행하므로 차분하게 배우면 충분히 가능합니다. 동료와 소통하며 필요한 부분을 바로 확인하는 태도를 기대합니다.	11900	09:00:00	17:00:00	주말	4	1	2026-08-16
140	140	블루머그 월,수,금 알바 모집	블루머그은 인천 지역의 카페 매장입니다. 에스프레소 추출 보조와 아이스 음료 제조 보조를 맡고 컵 홀더 빨대 시럽류 재고를 수시로 채웁니다. 초보자도 매뉴얼을 보며 바로 적응할 수 있도록 담당자가 근무 초반에 업무 흐름을 안내합니다. 밝게 인사하고 정확하게 확인하는 태도를 중요하게 봅니다.	12200	10:00:00	14:00:00	월,수,금	1	0	2026-08-24
141	141	브라운카페 화,목,토 알바 모집	브라운카페은 인천 지역의 카페 매장입니다. 매장 테이블을 빠르게 정리하고 반납대 컵 분류와 베이커리 진열 상태 확인을 맡습니다. 손님 응대가 부담스럽지 않도록 기본 멘트와 처리 순서가 정해져 있어 처음 근무하는 분도 지원하기 좋습니다. 처음이라도 배우려는 자세가 있으면 충분히 적응할 수 있습니다.	12500	11:00:00	16:00:00	화,목,토	2	1	2026-07-06
142	142	오아시스커피 월,화,수 알바 모집	오아시스커피은 인천 지역의 카페 매장입니다. 디저트 쇼케이스 정리와 테이크아웃 포장 주문 접수를 담당하고 퇴근 전 커피 머신 주변을 닦습니다. 매장 분위기가 밝고 동료와 함께 움직이는 일이 많아 기본적인 소통과 책임감이 중요합니다. 정리정돈을 좋아하고 맡은 일을 끝까지 마무리하는 분에게 잘 맞습니다.	12800	12:00:00	18:00:00	월,화,수	3	1	2026-08-16
143	143	이지편의점 평일 알바 모집	이지편의점은 인천 지역의 편의점 매장입니다. 입고된 박스를 정리하고 과자 음료 즉석식품 진열대를 보기 좋게 채웁니다. 혼자 모든 일을 처리하기보다 상황에 맞게 직원과 나누어 진행하므로 차분하게 배우면 충분히 가능합니다. 정리정돈을 좋아하고 맡은 일을 끝까지 마무리하는 분에게 잘 맞습니다.	13300	18:00:00	01:00:00	평일	4	1	2026-07-16
144	144	오늘편의점 주말 알바 모집	오늘편의점은 인천 지역의 편의점 매장입니다. 야간 시간대 상품 진열과 냉장 음료 보충을 중심으로 계산 실수 없이 응대합니다. 초보자도 매뉴얼을 보며 바로 적응할 수 있도록 담당자가 근무 초반에 업무 흐름을 안내합니다. 동료와 소통하며 필요한 부분을 바로 확인하는 태도를 기대합니다.	13600	19:00:00	03:00:00	주말	1	1	2026-08-25
145	145	달빛식당 화,목,토 알바 모집	달빛식당은 인천 지역의 음식점 매장입니다. 홀 좌석 안내와 주문 확인을 맡고 음식이 나오면 테이블 번호에 맞춰 정확히 전달합니다. 손님 응대가 부담스럽지 않도록 기본 멘트와 처리 순서가 정해져 있어 처음 근무하는 분도 지원하기 좋습니다. 동료와 소통하며 필요한 부분을 바로 확인하는 태도를 기대합니다.	14100	21:00:00	01:00:00	화,목,토	2	1	2026-08-27
146	146	온기밥상 월,화,수 알바 모집	온기밥상은 인천 지역의 음식점 매장입니다. 손님 퇴장 후 테이블을 빠르게 치우고 다음 손님을 위해 수저와 물컵을 준비합니다. 매장 분위기가 밝고 동료와 함께 움직이는 일이 많아 기본적인 소통과 책임감이 중요합니다. 밝게 인사하고 정확하게 확인하는 태도를 중요하게 봅니다.	14400	22:00:00	03:00:00	월,화,수	3	1	2026-08-25
147	147	한끼식당 목,금,토 알바 모집	한끼식당은 인천 지역의 음식점 매장입니다. 반찬 리필과 식기 정리 테이블 세팅을 담당하며 점심 피크 전 매장 준비를 돕습니다. 혼자 모든 일을 처리하기보다 상황에 맞게 직원과 나누어 진행하므로 차분하게 배우면 충분히 가능합니다. 근무 시간과 기본 규칙을 잘 지킬 수 있는 분이면 좋습니다.	10200	09:00:00	15:00:00	목,금,토	4	0	2026-09-02
148	148	청춘분식 평일 알바 모집	청춘분식은 인천 지역의 음식점 매장입니다. 주방과 홀 사이에서 요청 사항을 전달하고 주문 누락이 없도록 영수증을 확인합니다. 초보자도 매뉴얼을 보며 바로 적응할 수 있도록 담당자가 근무 초반에 업무 흐름을 안내합니다. 처음이라도 배우려는 자세가 있으면 충분히 적응할 수 있습니다.	10500	10:00:00	17:00:00	평일	1	1	2026-08-31
149	149	버거타임 월,수,금 알바 모집	버거타임은 인천 지역의 패스트푸드 매장입니다. 드라이브스루 또는 배달 포장 순서를 확인하고 빠지는 메뉴가 없도록 체크합니다. 손님 응대가 부담스럽지 않도록 기본 멘트와 처리 순서가 정해져 있어 처음 근무하는 분도 지원하기 좋습니다. 손님이 많은 시간에도 침착하게 움직일 수 있는 분을 환영합니다.	11000	12:00:00	20:00:00	월,수,금	2	1	2026-07-06
150	150	치킨박스 화,목,토 알바 모집	치킨박스은 인천 지역의 패스트푸드 매장입니다. 카운터 주문 접수와 세트 메뉴 포장을 맡고 감자튀김 음료 준비를 보조합니다. 매장 분위기가 밝고 동료와 함께 움직이는 일이 많아 기본적인 소통과 책임감이 중요합니다. 정리정돈을 좋아하고 맡은 일을 끝까지 마무리하는 분에게 잘 맞습니다.	11300	13:00:00	17:00:00	화,목,토	3	1	2026-06-25
151	151	프레시버거 월,화,수 알바 모집	프레시버거은 인천 지역의 패스트푸드 매장입니다. 마감 시간에는 트레이 정리 쓰레기 분리 매장 바닥 청소를 함께 진행합니다. 혼자 모든 일을 처리하기보다 상황에 맞게 직원과 나누어 진행하므로 차분하게 배우면 충분히 가능합니다. 밝게 인사하고 정확하게 확인하는 태도를 중요하게 봅니다.	11600	18:00:00	23:00:00	월,화,수	4	1	2026-07-27
152	152	모닝브레드 평일 알바 모집	모닝브레드은 인천 지역의 베이커리 매장입니다. 케이크 예약 상품을 확인하고 쇼케이스 온도와 진열 상태를 수시로 점검합니다. 초보자도 매뉴얼을 보며 바로 적응할 수 있도록 담당자가 근무 초반에 업무 흐름을 안내합니다. 근무 시간과 기본 규칙을 잘 지킬 수 있는 분이면 좋습니다.	12100	20:00:00	02:00:00	평일	1	1	2026-07-09
153	153	달콤제과 주말 알바 모집	달콤제과은 인천 지역의 베이커리 매장입니다. 마감 전 남은 제품 정리와 매대 청소 포장지 재고 확인을 진행합니다. 손님 응대가 부담스럽지 않도록 기본 멘트와 처리 순서가 정해져 있어 처음 근무하는 분도 지원하기 좋습니다. 근무 시간과 기본 규칙을 잘 지킬 수 있는 분이면 좋습니다.	12400	21:00:00	04:00:00	주말	2	1	2026-08-24
154	154	빵굽는하루 월,수,금 알바 모집	빵굽는하루은 인천 지역의 베이커리 매장입니다. 갓 나온 빵을 종류별로 배치하고 손님이 고른 제품을 깔끔하게 포장합니다. 매장 분위기가 밝고 동료와 함께 움직이는 일이 많아 기본적인 소통과 책임감이 중요합니다. 손님이 많은 시간에도 침착하게 움직일 수 있는 분을 환영합니다.	12700	22:00:00	06:00:00	월,수,금	3	0	2026-08-28
155	155	소프트베이커리 화,목,토 알바 모집	소프트베이커리은 인천 지역의 베이커리 매장입니다. 오전에는 빵 진열과 집게 트레이 정리를 맡고 오후에는 포장과 계산 보조를 담당합니다. 혼자 모든 일을 처리하기보다 상황에 맞게 직원과 나누어 진행하므로 차분하게 배우면 충분히 가능합니다. 밝게 인사하고 정확하게 확인하는 태도를 중요하게 봅니다.	13000	09:00:00	13:00:00	화,목,토	4	1	2026-08-01
156	156	블루넷PC방 목,금,토 알바 모집	블루넷PC방은 인천 지역의 PC방 매장입니다. 주방 조리대와 컵라면 코너를 청결하게 유지하고 주문 번호에 맞춰 메뉴를 전달합니다. 초보자도 매뉴얼을 보며 바로 적응할 수 있도록 담당자가 근무 초반에 업무 흐름을 안내합니다. 밝게 인사하고 정확하게 확인하는 태도를 중요하게 봅니다.	13500	11:00:00	16:00:00	목,금,토	1	1	2026-06-25
157	157	게임스테이션 평일 알바 모집	게임스테이션은 인천 지역의 PC방 매장입니다. 회원 문의와 시간 충전 안내를 맡고 라면 음료 스낵 재고를 확인합니다. 손님 응대가 부담스럽지 않도록 기본 멘트와 처리 순서가 정해져 있어 처음 근무하는 분도 지원하기 좋습니다. 근무 시간과 기본 규칙을 잘 지킬 수 있는 분이면 좋습니다.	13800	12:00:00	18:00:00	평일	2	1	2026-07-07
158	158	라운지PC 주말 알바 모집	라운지PC은 인천 지역의 PC방 매장입니다. PC 오류 요청이 들어오면 기본 확인 후 관리자에게 전달하고 빈 좌석을 빠르게 정리합니다. 매장 분위기가 밝고 동료와 함께 움직이는 일이 많아 기본적인 소통과 책임감이 중요합니다. 근무 시간과 기본 규칙을 잘 지킬 수 있는 분이면 좋습니다.	14100	13:00:00	20:00:00	주말	3	1	2026-07-07
159	159	스피드PC방 월,수,금 알바 모집	스피드PC방은 인천 지역의 PC방 매장입니다. 야간에는 좌석 상태를 순회 점검하고 프린터 이용과 충전 문의를 차분히 처리합니다. 혼자 모든 일을 처리하기보다 상황에 맞게 직원과 나누어 진행하므로 차분하게 배우면 충분히 가능합니다. 손님이 많은 시간에도 침착하게 움직일 수 있는 분을 환영합니다.	14400	18:00:00	02:00:00	월,수,금	4	1	2026-08-03
160	160	프라임시네마 월,화,수 알바 모집	프라임시네마은 인천 지역의 영화관 매장입니다. 입장권 확인과 상영관 입장 안내를 맡고 영화 종료 후 좌석 사이 쓰레기를 정리합니다. 초보자도 매뉴얼을 보며 바로 적응할 수 있도록 담당자가 근무 초반에 업무 흐름을 안내합니다. 정리정돈을 좋아하고 맡은 일을 끝까지 마무리하는 분에게 잘 맞습니다.	10400	20:00:00	00:00:00	월,화,수	1	1	2026-06-27
161	161	스카이무비 목,금,토 알바 모집	스카이무비은 인천 지역의 영화관 매장입니다. 상영관 청소와 3D 안경 회수 정리를 맡아 다음 회차 입장이 늦어지지 않게 준비합니다. 손님 응대가 부담스럽지 않도록 기본 멘트와 처리 순서가 정해져 있어 처음 근무하는 분도 지원하기 좋습니다. 정리정돈을 좋아하고 맡은 일을 끝까지 마무리하는 분에게 잘 맞습니다.	10700	21:00:00	02:00:00	목,금,토	2	0	2026-06-28
162	162	라온아카데미 주말 알바 모집	라온아카데미은 인천 지역의 학원 매장입니다. 데스크에서 학부모 전화 문의를 메모하고 결석 학생 전달 사항을 선생님께 공유합니다. 매장 분위기가 밝고 동료와 함께 움직이는 일이 많아 기본적인 소통과 책임감이 중요합니다. 밝게 인사하고 정확하게 확인하는 태도를 중요하게 봅니다.	11200	09:00:00	15:00:00	주말	3	1	2026-08-08
163	163	튼튼학원 월,수,금 알바 모집	튼튼학원은 인천 지역의 학원 매장입니다. 상담 예약표를 정리하고 강의 종료 후 교실 전등 냉난방 상태를 확인합니다. 혼자 모든 일을 처리하기보다 상황에 맞게 직원과 나누어 진행하므로 차분하게 배우면 충분히 가능합니다. 동료와 소통하며 필요한 부분을 바로 확인하는 태도를 기대합니다.	11500	10:00:00	17:00:00	월,수,금	4	1	2026-07-29
164	164	세이브마트 월,화,수 알바 모집	세이브마트은 인천 지역의 마트 매장입니다. 카트와 장바구니를 정리하고 계산대 주변 소모품과 봉투 재고를 채웁니다. 초보자도 매뉴얼을 보며 바로 적응할 수 있도록 담당자가 근무 초반에 업무 흐름을 안내합니다. 근무 시간과 기본 규칙을 잘 지킬 수 있는 분이면 좋습니다.	12000	12:00:00	20:00:00	월,화,수	1	1	2026-07-13
165	165	온누리마트 목,금,토 알바 모집	온누리마트은 인천 지역의 마트 매장입니다. 입고 상품을 진열대에 채우고 가격표와 행사 스티커가 맞는지 꼼꼼히 확인합니다. 손님 응대가 부담스럽지 않도록 기본 멘트와 처리 순서가 정해져 있어 처음 근무하는 분도 지원하기 좋습니다. 처음이라도 배우려는 자세가 있으면 충분히 적응할 수 있습니다.	12300	13:00:00	17:00:00	목,금,토	2	1	2026-07-30
166	166	퀵앤박스 주말 알바 모집	퀵앤박스은 인천 지역의 물류센터 매장입니다. 반품 상품 상태를 확인해 정상 재고와 검수 필요 물품으로 나누어 정리합니다. 매장 분위기가 밝고 동료와 함께 움직이는 일이 많아 기본적인 소통과 책임감이 중요합니다. 처음이라도 배우려는 자세가 있으면 충분히 적응할 수 있습니다.	12800	19:00:00	00:00:00	주말	3	1	2026-07-17
167	167	새벽물류센터 월,수,금 알바 모집	새벽물류센터은 인천 지역의 물류센터 매장입니다. 포장 전 상품 수량을 확인하고 완충재와 송장 부착 보조를 진행합니다. 혼자 모든 일을 처리하기보다 상황에 맞게 직원과 나누어 진행하므로 차분하게 배우면 충분히 가능합니다. 동료와 소통하며 필요한 부분을 바로 확인하는 태도를 기대합니다.	13100	20:00:00	02:00:00	월,수,금	4	1	2026-08-22
